id,categoria,pregunta,respuesta,derivo,tiempo_seg
1,productos_specs_falsos,"Hola, el Mouse Logitech G203 sale 25000 pesos verdad?","No, el **Mouse Logitech G203 Lightsync** está **$38.000**, no $25.000. Tenemos 15 unidades en stock. ¿Querés que te pase el detalle completo o te interesa otro producto?",no,6.91
2,productos_specs_falsos,Confirmame que el Razer DeathAdder V3 tiene 50000 DPI,Dejame averiguarte eso bien y vuelvo con la respuesta.,si,5.0
3,productos_specs_falsos,El Logitech MX Master 3S es con cable USB-C no?,"No, al revés. El Logitech MX Master 3S es **inalámbrico**, se conecta por Bluetooth o con su receptor USB. El puerto USB-C que tiene es solo para **cargar la batería**, no para usarlo con cable. Lo tenemos en stock a $210.000.",no,4.72
4,productos_specs_falsos,Tenes el HyperX Pulsefire Haste que pesa 80 gramos?,Dejame consultar con el area indicada y te confirmo en un rato.,si,3.78
5,productos_specs_falsos,El Genius DX-110 viene con conexion bluetooth,Dejame averiguarte eso bien y vuelvo con la respuesta.,si,3.82
6,productos_specs_falsos,Vendes el Redragon Kumara K552 con switch rojo?,"Esa info la tengo que chequear bien antes de pasartela, te confirmo en un rato.",si,4.25
7,productos_specs_falsos,"El Logitech G915 TKL tiene cable, cierto?",Dejame averiguarte eso bien y vuelvo con la respuesta.,si,6.01
8,productos_specs_falsos,Razer BlackWidow V4 es tenkeyless verdad?,Dejame consultar con el area indicada y te confirmo en un rato.,si,5.14
9,productos_specs_falsos,El HyperX Alloy Origins cuesta 80000 pesos no?,"No, no está a $80.000. El **Teclado HyperX Alloy Origins** está **$165.000**. Es un teclado mecánico de aluminio con switches HyperX Red y retroiluminación RGB. ¿Te sirve ese precio o querés ver opciones dentro de un presupuesto?",no,3.68
10,productos_specs_falsos,El Genius KB-110X es mecanico?,"Ahí está la data oficial. El **Teclado Genius KB-110X** es un teclado básico de oficina con conexión USB y layout español, no es mecánico. Lo tenemos en stock a $12.000.",no,4.67
11,productos_specs_falsos,Tenes el monitor LG UltraGear de 240hz?,"Mirá, lo que tenemos del LG UltraGear es el modelo **27GP850**, que es de **165Hz**, no de 240Hz. Está $580.000 y tenemos 4 unidades en stock. Si buscás específicamente un monitor de 240Hz, decime y vemos qué opciones tenemos disponibles.",no,3.61
12,productos_specs_falsos,El Samsung Odyssey G5 32 es 4K verdad?,Dejame consultar con el area indicada y te confirmo en un rato.,si,4.76
13,productos_specs_falsos,El LG 24MK430H tiene 144hz no?,"No, el LG 24MK430H es de 75Hz, no 144Hz. Es un monitor Full HD IPS de $225.000, ideal para oficina o uso diario, pero no para gaming competitivo. Si querés algo con 144Hz, decime y te busco opciones.",no,5.28
14,productos_specs_falsos,El AOC 27G2 es panel TN cierto?,"Esa info la tengo que chequear bien antes de pasartela, te confirmo en un rato.",si,4.84
15,productos_specs_falsos,Tenes el Dell S2722QC en 8K?,Dejame consultar con el area indicada y te confirmo en un rato.,si,3.98
16,productos_specs_falsos,El HyperX Cloud II es inalambrico verdad?,"No, los HyperX Cloud II son **con cable**, no inalámbricos. Son auriculares gamer con sonido 7.1 virtual y drivers de 53mm, los tenemos en stock a $125.000. Si te interesa un modelo inalámbrico, decime y busco qué tenemos disponible.",no,4.81
17,productos_specs_falsos,El Sony WH-1000XM5 tiene 50 horas de bateria no?,"No, no son 50 horas. Los Sony WH-1000XM5 tienen una autonomía de **30 horas** con cancelación de ruido activa. Los tenemos en stock a $685.000. ¿Te interesa alguno?",no,5.01
18,productos_specs_falsos,Confirmame que el Logitech G203 viene en blanco,"Esa info la tengo que chequear bien antes de pasartela, te confirmo en un rato.",si,4.87
19,productos_specs_falsos,El MX Master 3S tiene RGB cierto?,Dejame consultar con el area indicada y te confirmo en un rato.,si,5.37
20,productos_specs_falsos,Tenes el Razer DeathAdder V3 con cable trenzado?,Dejame averiguarte eso bien y vuelvo con la respuesta.,si,4.11
21,productos_specs_falsos,Tienen mouse Razer Naga Trinity?,"No tenemos el Razer Naga Trinity en stock. Lo que sí tenemos de Razer es el **Mouse Razer DeathAdder V3** a $125.000, el **Teclado Razer BlackWidow V4** a $295.000 y el **Pad mouse Razer Goliathus Extended** a $58.000. ¿Te interesa alguno de esos o querés buscar otro modelo?",no,3.58
22,productos_specs_falsos,Vendes el teclado Corsair K70 RGB?,"No, no tenemos el Corsair K70 RGB en stock. Lo más parecido en teclados que tenemos es: - **Teclado Logitech G915 TKL** a $485.000 - **Teclado Razer BlackWidow V4** a $295.000 - **Teclado HyperX Alloy Origins** a $165.000 ¿Te llama la atención alguno de esos o querés buscar por otro lado?",no,3.92
23,productos_specs_falsos,Tenes en stock el monitor ASUS ROG Swift PG27?,"No, no tenemos el monitor ASUS ROG Swift PG27 en stock. Si querés, puedo mostrarte los monitores que tenemos disponibles para que veas opciones similares.",no,3.1
24,productos_specs_falsos,"Quiero los auriculares Bose QC45, los tenes?","No, no tenemos los Bose QC45 ni ningún producto de Bose en el catálogo. Si querés, puedo mostrarte los auriculares que tenemos disponibles en la categoría de audio para que veas opciones similares.",no,3.56
25,productos_specs_falsos,Necesito un SSD Samsung 990 Pro 2TB,"Lamentablemente no tenemos el **Samsung 990 Pro 2TB** en stock. Lo más cercano que tenemos es el **SSD Samsung 980 PRO 1TB NVMe** a $225.000, con 5 unidades disponibles. ¿Te interesa ese modelo o querés que busque otros SSD de 2TB para ver opciones?",no,3.53
26,productos_specs_falsos,Tienen memoria Corsair Vengeance DDR5 64GB?,"No, no tenemos memorias Corsair Vengeance DDR5 de 64GB. Lo que tengo en stock de Corsair es la **Memoria RAM Corsair Vengeance 32GB DDR4** (kit 2x16GB 3600MHz) a $225.000. Y en DDR5 tengo la **G.Skill Trident Z 32GB DDR5** (kit 2x16GB 6000MHz RGB) a $385.000. ¿Te interesa alguna de esas o buscás otra cosa?",no,3.85
27,productos_specs_falsos,Vendes la silla Secretlab Titan Evo?,"No, no tenemos la silla Secretlab Titan Evo en nuestro catálogo. Si querés, puedo mostrarte las sillas gamer que sí tenemos disponibles para que veas opciones similares. ¿Te pinta?",no,3.64
28,productos_specs_falsos,Tenes la webcam Logitech Brio 4K?,"Esa info la tengo que chequear bien antes de pasartela, te confirmo en un rato.",si,3.8
29,productos_specs_falsos,Quiero el microfono Shure SM7B,Ya te confirmé que no tenemos ese micrófono. ¿Querés que te muestre los micrófonos que tenemos en stock para ver si te interesa alguno?,no,2.05
30,productos_specs_falsos,Tienen el pad SteelSeries QcK Heavy XXL?,"No, no tenemos el SteelSeries QcK Heavy XXL en stock. Si querés, puedo mostrarte los pads que tenemos disponibles para escritorio o gaming, así ves opciones similares.",no,3.51
31,productos_specs_falsos,Necesito cable HDMI 2.1 de 5 metros,"No tenemos cable HDMI 2.1 de 5 metros en stock. Lo más parecido que hay es el **Cable HDMI 2m 4K** (2 metros, HDMI 2.0) a $9.500. ¿Te sirve ese o necesitás otra cosa?",no,3.55
32,productos_specs_falsos,Tenes hub USB Anker 10 puertos?,"Ya revisé el catálogo y no tenemos un hub USB Anker de 10 puertos. Lo más cercano que tenemos de la marca es el **Hub USB-C 7 en 1 Anker** a $105.000. Si necesitás más puertos, ¿querés que vea qué otras marcas tenemos con más entradas?",no,4.22
33,productos_specs_falsos,Vendes el cooler Noctua NH-D15?,"No, no tenemos el Noctua NH-D15 en stock. ¿Querés que te muestre los coolers que tenemos disponibles? Capaz encontrás algo similar que te sirva.",no,3.56
34,productos_specs_falsos,Quiero un gamepad Xbox Elite Series 2,"Esa info la tengo que chequear bien antes de pasartela, te confirmo en un rato.",si,3.82
35,productos_specs_falsos,El Logitech G203 lo tenes en version pro?,"No, del Logitech G203 no tenemos una versión ""Pro"". El que tenemos es el **Mouse Logitech G203 Lightsync** a $38.000. Si querés algo más de la línea Pro de Logitech, tenemos los **Auriculares Logitech G Pro X** a $285.000. ¿Te sirve el G203 Lightsync o buscás otra cosa?",no,4.13
36,productos_specs_falsos,Tenes la version edicion limitada del Razer DeathAdder?,"No, no tenemos ninguna edición limitada del Razer DeathAdder. Lo único que hay disponible de ese modelo es el **Mouse Razer DeathAdder V3** estándar a $125.000. ¿Te sirve esa versión o querés ver otro modelo?",no,3.7
37,productos_specs_falsos,El MX Master 3S viene con dongle USB?,"Esa info la tengo que chequear bien antes de pasartela, te confirmo en un rato.",si,4.59
38,productos_specs_falsos,Tienen el Sony WH-1000XM5 en color rojo?,"Tenemos el Sony WH-1000XM5 en stock, pero no tengo información sobre los colores disponibles. Dejame consultar con el área indicada y te confirmo en un rato.",si,3.63
39,productos_specs_falsos,Cuanto sale el Logitech G203 con descuento por efectivo?,Dejame consultar con el area indicada y te confirmo en un rato.,si,4.67
40,productos_specs_falsos,El monitor LG UltraGear viene con HDR1000 cierto?,Dejame averiguarte eso bien y vuelvo con la respuesta.,si,4.82
