conv_id,escenario,turno,mensaje,respuesta,tiempo_seg,fallback,error
c01_explorar_y_cerrar,"Explorar mouse, elegir, calcular envio interior, confirmar y dar datos",1,"Hola, buenas","Disculpá, tuve un problema técnico. ¿Podés repetirme tu consulta?",5.6,si,no
c01_explorar_y_cerrar,"Explorar mouse, elegir, calcular envio interior, confirmar y dar datos",2,Estoy buscando un mouse para jugar,"Tenemos varios mouses para gaming, como el Mouse Logitech G203 Lightsync por $38.000, el Mouse Razer DeathAdder V3 por $125.000 y el Mouse Logitech MX Master 3S por $210.000. ¿Te interesa alguno de estos o querés ver más opciones?",72.2,no,no
c01_explorar_y_cerrar,"Explorar mouse, elegir, calcular envio interior, confirmar y dar datos",3,cual me conviene de esos dos?,"Disculpá, tuve un problema técnico. ¿Podés repetirme tu consulta?",9.8,si,no
c01_explorar_y_cerrar,"Explorar mouse, elegir, calcular envio interior, confirmar y dar datos",4,el mas barato cuanto sale?,"Disculpá, tuve un problema técnico. ¿Podés repetirme tu consulta?",7.7,si,no
c01_explorar_y_cerrar,"Explorar mouse, elegir, calcular envio interior, confirmar y dar datos",5,y con envio a Cordoba capital?,"Disculpá, tuve un problema técnico. ¿Podés repetirme tu consulta?",8.6,si,no
c01_explorar_y_cerrar,"Explorar mouse, elegir, calcular envio interior, confirmar y dar datos",6,"es a Nueva Cordoba, barrio centrico","Disculpá, tuve un problema técnico. ¿Podés repetirme tu consulta?",0.7,si,no
c01_explorar_y_cerrar,"Explorar mouse, elegir, calcular envio interior, confirmar y dar datos",7,"dale, me lo llevo","Disculpá, tuve un problema técnico. ¿Podés repetirme tu consulta?",0.6,si,no
c01_explorar_y_cerrar,"Explorar mouse, elegir, calcular envio interior, confirmar y dar datos",8,pago por transferencia,"Disculpá, tuve un problema técnico. ¿Podés repetirme tu consulta?",0.5,si,no
c01_explorar_y_cerrar,"Explorar mouse, elegir, calcular envio interior, confirmar y dar datos",9,mi nombre es Martin y mi telefono es 351 5551234,"Disculpá, tuve un problema técnico. ¿Podés repetirme tu consulta?",0.5,si,no
c02_cambio_de_opinion,"Arranca por teclado y a mitad cambia a monitor, obliga a re-buscar y recalcular sin perder el hilo",1,"buenas, tenes teclados mecanicos?","Disculpá, tuve un problema técnico. ¿Podés repetirme tu consulta?",0.5,si,no
c02_cambio_de_opinion,"Arranca por teclado y a mitad cambia a monitor, obliga a re-buscar y recalcular sin perder el hilo",2,cuanto sale el Redragon?,"Disculpá, tuve un problema técnico. ¿Podés repetirme tu consulta?",0.5,si,no
c02_cambio_de_opinion,"Arranca por teclado y a mitad cambia a monitor, obliga a re-buscar y recalcular sin perder el hilo",3,"mmm, mejor mostrame monitores","Disculpá, tuve un problema técnico. ¿Podés repetirme tu consulta?",0.5,si,no
c02_cambio_de_opinion,"Arranca por teclado y a mitad cambia a monitor, obliga a re-buscar y recalcular sin perder el hilo",4,alguno bueno para jugar?,"Disculpá, tuve un problema técnico. ¿Podés repetirme tu consulta?",0.5,si,no
c02_cambio_de_opinion,"Arranca por teclado y a mitad cambia a monitor, obliga a re-buscar y recalcular sin perder el hilo",5,el de 27 pulgadas cuanto es?,"Disculpá, tuve un problema técnico. ¿Podés repetirme tu consulta?",0.5,si,no
c02_cambio_de_opinion,"Arranca por teclado y a mitad cambia a monitor, obliga a re-buscar y recalcular sin perder el hilo",6,"lo queres con el teclado que vimos antes, cuanto me queda todo junto?","Disculpá, tuve un problema técnico. ¿Podés repetirme tu consulta?",0.5,si,no
c02_cambio_de_opinion,"Arranca por teclado y a mitad cambia a monitor, obliga a re-buscar y recalcular sin perder el hilo",7,con envio a Rosario,"Disculpá, tuve un problema técnico. ¿Podés repetirme tu consulta?",0.5,si,no
c02_cambio_de_opinion,"Arranca por teclado y a mitad cambia a monitor, obliga a re-buscar y recalcular sin perder el hilo",8,y si pago en efectivo tengo descuento?,"Disculpá, tuve un problema técnico. ¿Podés repetirme tu consulta?",0.5,si,no
c02_cambio_de_opinion,"Arranca por teclado y a mitad cambia a monitor, obliga a re-buscar y recalcular sin perder el hilo",9,"listo, cerralo asi","Disculpá, tuve un problema técnico. ¿Podés repetirme tu consulta?",0.5,si,no
