conv_id,escenario,turno,mensaje,respuesta,tiempo_seg,fallback,error
c01_explorar_y_cerrar,"Explorar mouse, elegir, calcular envio interior, confirmar y dar datos",1,"Hola, buenas",¡Hola! ¿En qué puedo ayudarte hoy?,10.7,no,no
c01_explorar_y_cerrar,"Explorar mouse, elegir, calcular envio interior, confirmar y dar datos",2,Estoy buscando un mouse para jugar,"Uhm, mirá, en este momento no tengo ningún mouse específico para gamers en el catálogo. ¿Te interesaría ver algún otro tipo de mouse o algún otro periférico?",5.7,no,no
c01_explorar_y_cerrar,"Explorar mouse, elegir, calcular envio interior, confirmar y dar datos",3,cual me conviene de esos dos?,"Disculpame, pero no tengo ningún mouse gamer en este momento. ¿Te gustaría que te muestre otros tipos de mouses o quizás algún otro periférico que te interese?",5.5,no,no
c01_explorar_y_cerrar,"Explorar mouse, elegir, calcular envio interior, confirmar y dar datos",4,el mas barato cuanto sale?,No tengo mouses gamer en este momento. ¿Te gustaría que te muestre otros tipos de mouses o quizás algún otro periférico que te interese?,6.1,no,no
c01_explorar_y_cerrar,"Explorar mouse, elegir, calcular envio interior, confirmar y dar datos",5,y con envio a Cordoba capital?,Dejame consultar con el área indicada el costo de envío a Córdoba capital y te confirmo en un rato.,5.9,no,no
c01_explorar_y_cerrar,"Explorar mouse, elegir, calcular envio interior, confirmar y dar datos",6,"es a Nueva Cordoba, barrio centrico",Dejame consultar con el área indicada el costo de envío a Nueva Córdoba y te confirmo en un rato.,5.8,no,no
c01_explorar_y_cerrar,"Explorar mouse, elegir, calcular envio interior, confirmar y dar datos",7,"dale, me lo llevo","¡Excelente! Para avanzar con tu compra, necesitaría que me confirmes cómo querés abonar y tus datos para el envío.",5.4,no,no
c01_explorar_y_cerrar,"Explorar mouse, elegir, calcular envio interior, confirmar y dar datos",8,pago por transferencia,"¡Genial! Aceptamos transferencias bancarias. Para poder confirmarte el total con el descuento correspondiente y avanzar con el envío, necesito que me digas qué producto te querés llevar.",5.2,no,no
c01_explorar_y_cerrar,"Explorar mouse, elegir, calcular envio interior, confirmar y dar datos",9,mi nombre es Martin y mi telefono es 351 5551234,"¡Perfecto, Martín! Anotado tu nombre y teléfono. Para poder confirmarte el total con el descuento por transferencia y coordinar el envío, necesito que me digas qué producto te querés llevar.",5.9,no,no
c02_cambio_de_opinion,"Arranca por teclado y a mitad cambia a monitor, obliga a re-buscar y recalcular sin perder el hilo",1,"buenas, tenes teclados mecanicos?","Buenas! Mirá, teclados mecánicos específicos no tengo en este momento. Te puedo ofrecer otros tipos de teclados si te interesa.",5.2,no,no
c02_cambio_de_opinion,"Arranca por teclado y a mitad cambia a monitor, obliga a re-buscar y recalcular sin perder el hilo",2,cuanto sale el Redragon?,No tengo ningún producto Redragon en este momento. ¿Te gustaría buscar otra marca o tipo de teclado?,5.7,no,no
