id,categoria,comportamiento_esperado,pregunta,respuesta,latencia_ms,longitud_respuesta,es_fallback,juicios_valor_detectados,error,user_id
C001,faq_ubicacion,responder_con_faq,donde estan ubicados,"Somos solo online, no tenemos local físico. Despachamos desde Buenos Aires a todo el país. ¿Necesitás saber algo sobre envíos o formas de pago?",5447,143,no,,,test_prueba_C001
C002,faq_ubicacion,responder_con_faq,desde donde despachan,No tengo esa información a mano ahora. Dejame consultar con el área indicada y te confirmo en un rato. ¿Hay algo más en lo que te pueda ayudar mientras tanto?,2967,158,si,,,test_prueba_C002
C003,faq_ubicacion,responder_con_faq,tienen local fisico,"Somos solo online, no tenemos local físico. Despachamos desde Buenos Aires a todo el país. ¿En qué más te puedo ayudar?",2843,119,no,,,test_prueba_C003
C004,faq_ubicacion,responder_con_faq,tienn sucursal donde retirar,"Somos solo online, no tenemos sucursal física. Despachamos desde Buenos Aires a todo el país. Si te sirve, podemos coordinar el envío a tu domicilio o a un punto de retiro de correo. ¿De dónde sos?",3565,197,no,,,test_prueba_C004
C005,faq_ubicacion,responder_con_faq,de que provincia son,"Somos de Buenos Aires, pero operamos solo online. Despachamos desde acá a todo el país. ¿Necesitás saber algo sobre envíos a tu provincia?",3113,138,no,,,test_prueba_C005
C006,faq_ubicacion,responder_con_faq,puedo ir a buscar el prodcto,"Somos solo online, no tenemos local físico. Despachamos desde Buenos Aires a todo el país. Así que no, no podés pasar a buscar el producto. ¿Querés que te cuente las opciones de envío?",3141,184,no,,,test_prueba_C006
C007,faq_horarios,responder_con_faq,que horarios atienden,"Atendemos de lunes a viernes de 9 a 18 hs, y los sábados de 10 a 13 hs, tanto por WhatsApp como por mail. ¿En qué más te puedo ayudar?",2945,134,no,,,test_prueba_C007
C008,faq_horarios,responder_con_faq,a que hora abren,"Atendemos de lunes a viernes de 9 a 18 hs, y los sábados de 10 a 13 hs por WhatsApp y mail. ¿En qué más te puedo ayudar?",2790,120,no,,,test_prueba_C008
C009,faq_horarios,responder_con_faq,atienden los sabados,"Sí, los sábados atendemos de 10 a 13 hs por WhatsApp y mail. El resto de la semana estamos de lunes a viernes de 9 a 18 hs. ¿En qué te puedo ayudar?",2842,148,no,,,test_prueba_C009
C010,faq_horarios,responder_con_faq,trabajan los domingos,"No, no trabajamos los domingos. Te atendemos de lunes a viernes de 9 a 18 hs y los sábados de 10 a 13 hs por WhatsApp y mail. ¿En qué más te puedo ayudar?",3184,154,no,,,test_prueba_C010
C011,faq_horarios,responder_con_faq,a que hora cierran,Atendemos de lunes a viernes de 9 a 18 hs y sábados de 10 a 13 hs por WhatsApp y mail. ¿En qué más te puedo ayudar?,2526,115,no,,,test_prueba_C011
C012,faq_formas_pago,responder_con_faq,como puedo pagar,"Aceptamos transferencia bancaria, Mercado Pago, y tarjetas de crédito y débito Visa, Mastercard y American Express. ¿Tenés algún producto en mente para armarte un presupuesto?",2895,175,no,,,test_prueba_C012
C013,faq_formas_pago,responder_con_faq,aceptan tarjeta de credito,"Sí, aceptamos tarjetas de crédito Visa, Mastercard y American Express. También podés pagar con débito, Mercado Pago o transferencia bancaria. ¿Qué estabas buscando?",3101,164,no,,,test_prueba_C013
C014,faq_formas_pago,responder_con_faq,se puede pagar por transferencia,"Sí, se puede pagar por transferencia bancaria y encima tenés un **10% de descuento** si elegís ese medio de pago. ¿Te interesa algún producto en particular para pasarte el precio con el descuento incluido?",3126,205,no,,,test_prueba_C014
C015,faq_formas_pago,responder_con_faq,aceptan mercado pago,"Sí, aceptamos Mercado Pago sin problema. También podés pagar con transferencia bancaria, tarjetas de crédito y débito Visa, Mastercard y American Express. ¿Qué estabas buscando?",2919,177,no,,,test_prueba_C015
C016,faq_formas_pago,responder_con_faq,toman amex,"Sí, tomamos American Express (Amex). Aceptamos tarjetas de crédito y débito Visa, Mastercard y American Express, además de transferencia bancaria y Mercado Pago. ¿Querés saber algo más sobre medios de pago o estás buscando algún producto en particular?",2930,252,no,,,test_prueba_C016
C017,faq_formas_pago,responder_con_faq,aceptan efectivo,"Efectivo en sí no manejamos, pero tenemos un **10% de descuento** pagando por **transferencia bancaria**. Si te sirve, te paso los datos para que puedas coordinar el pago. ¿Qué te parece?",3110,187,no,,,test_prueba_C017
C018,faq_cuotas,responder_con_faq,tenes cuotas,"Sí, tenemos hasta **6 cuotas sin interés** con Visa y Mastercard, y hasta **12 cuotas con interés**. ¿Qué producto te interesa? Así te paso el precio en cuotas.",2888,160,no,,,test_prueba_C018
C019,faq_cuotas,responder_con_faq,cuantas cuotas sin interes,"¡Ahí está! Tenemos **hasta 6 cuotas sin interés** con Visa y Mastercard. Si querés estirarlo más, también hay hasta 12 cuotas pero con interés. ¿Te interesa algún producto en particular para pasarte el precio en cuotas?",3078,219,no,,,test_prueba_C019
C020,faq_cuotas,responder_con_faq,hasta cuantas cuotas llegan,"Llegamos hasta 6 cuotas sin interés con Visa y Mastercard, y hasta 12 cuotas con interés. ¿Querés que te arme un presupuesto con algún producto en cuotas?",2788,154,no,,,test_prueba_C020
C021,faq_cuotas,responder_con_faq,con que tarjetas hay cuotas,Aceptamos **Visa** y **Mastercard** con hasta **6 cuotas sin interés**. También hay hasta **12 cuotas con interés**. ¿Querés que te arme un presupuesto con algún producto en cuotas?,2960,181,no,,,test_prueba_C021
C022,faq_envios,responder_con_faq,acen envios,"Sí, hacemos envíos a todo el país por Andreani y OCA. ¿Qué producto te interesa? Así te paso el precio con el envío incluido si querés.",2869,135,no,,,test_prueba_C022
C023,faq_envios,responder_con_faq,envian a todo el pais,"Sí, hacemos envíos a todo el país a través de **Andreani** y **OCA**. ¿Estás viendo algún producto en particular? Así te paso el costo de envío exacto.",3117,151,no,,,test_prueba_C023
C024,faq_envios,responder_con_faq,con que correo despachan,Despachamos por **Andreani** y **OCA** a todo el país. ¿Estás por hacer un pedido o necesitás saber los tiempos estimados de entrega?,2897,133,no,,,test_prueba_C024
C025,faq_envios,responder_con_faq,trabajan con andreani,"Sí, trabajamos con **Andreani** (y también con OCA). Hacemos envíos a todo el país. ¿Qué estabas buscando?",2717,106,no,,,test_prueba_C025
C026,faq_costo_envio,responder_con_faq,cuanto sale el envio a caba,"¿Qué producto te interesa? El costo del envío a CABA depende del producto y su peso. Si me decís qué estás buscando, te paso más detalles.",2876,138,no,,,test_prueba_C026
C027,faq_costo_envio,responder_con_faq,cuanto cuesta el envio,"El costo del envío depende del código postal y el peso del pedido. Hacemos envíos a todo el país por Andreani y OCA. Si me pasás tu código postal y qué productos te interesan, te puedo calcular el costo exacto.",2898,210,no,,,test_prueba_C027
C028,faq_costo_envio,responder_con_faq,a partir de cuanto es envio gratis,"Disculpá, tuve un problema técnico. ¿Podés repetirme tu consulta?",4932,65,no,,,test_prueba_C028
C029,faq_costo_envio,responder_con_faq,el envio tiene costo,"¡Buenas! Hacemos envíos a todo el país por Andreani y OCA. El costo depende del código postal y el peso del pedido. Si me decís tu localidad, puedo ver si aplica envío gratis o cuánto saldría.",5234,192,no,,,test_prueba_C029
C030,faq_plazo_envio,responder_con_faq,kuanto demora el envio a caba,"Mirá, por lo que tengo en la base, hacemos envíos a todo el país por Andreani y OCA, pero no tengo el dato exacto de la demora para CABA. Dejame consultar con el área de logística y te confirmo en un rato. ¿Te sirve?",5360,216,si,,,test_prueba_C030
