marca,modelo,categoria,conecta_por,plataformas,requiere,provee,no_compatible,nota
Kingston,DataTraveler Exodia 1TB,almacenamiento externo,puerto_usb_a,windows|macos|linux|notebook|pc_escritorio|ps5|ps4|xbox|smart_tv,puerto_usb_a,,,"Se conecta por USB comun, no necesita fuente ni instalar nada. Viene formateado para Windows; en Mac o en la consola hay que reformatearlo, que se hace en un minuto."
Kingston,DataTraveler Exodia 2TB,almacenamiento externo,puerto_usb_a,windows|macos|linux|notebook|pc_escritorio|ps5|ps4|xbox|smart_tv,puerto_usb_a,,,"Se conecta por USB comun, no necesita fuente ni instalar nada. Viene formateado para Windows; en Mac o en la consola hay que reformatearlo, que se hace en un minuto."
Kingston,DataTraveler Exodia 4TB,almacenamiento externo,puerto_usb_a,windows|macos|linux|notebook|pc_escritorio|ps5|ps4|xbox|smart_tv,puerto_usb_a,,,"Se conecta por USB comun, no necesita fuente ni instalar nada. Viene formateado para Windows; en Mac o en la consola hay que reformatearlo, que se hace en un minuto."
Kingston,DataTraveler Max 1TB,almacenamiento externo,puerto_usb_c,windows|macos|linux|notebook|pc_escritorio|ps5|ps4|xbox|smart_tv,puerto_usb_c,,,"Se conecta por USB-C. Si tu equipo solo tiene USB comun, necesitas un adaptador. Viene formateado para Windows; en Mac o en la consola hay que reformatearlo, que se hace en un minuto."
Kingston,DataTraveler Max 2TB,almacenamiento externo,puerto_usb_c,windows|macos|linux|notebook|pc_escritorio|ps5|ps4|xbox|smart_tv,puerto_usb_c,,,"Se conecta por USB-C. Si tu equipo solo tiene USB comun, necesitas un adaptador. Viene formateado para Windows; en Mac o en la consola hay que reformatearlo, que se hace en un minuto."
Kingston,DataTraveler Max 4TB,almacenamiento externo,puerto_usb_c,windows|macos|linux|notebook|pc_escritorio|ps5|ps4|xbox|smart_tv,puerto_usb_c,,,"Se conecta por USB-C. Si tu equipo solo tiene USB comun, necesitas un adaptador. Viene formateado para Windows; en Mac o en la consola hay que reformatearlo, que se hace en un minuto."
Samsung,T7 SSD 1TB,almacenamiento externo,puerto_usb_c,windows|macos|linux|notebook|pc_escritorio|ps5|ps4|xbox|smart_tv,puerto_usb_c,,,"Se conecta por USB-C. Si tu equipo solo tiene USB comun, necesitas un adaptador. Viene formateado para Windows; en Mac o en la consola hay que reformatearlo, que se hace en un minuto."
Samsung,T7 SSD 2TB,almacenamiento externo,puerto_usb_c,windows|macos|linux|notebook|pc_escritorio|ps5|ps4|xbox|smart_tv,puerto_usb_c,,,"Se conecta por USB-C. Si tu equipo solo tiene USB comun, necesitas un adaptador. Viene formateado para Windows; en Mac o en la consola hay que reformatearlo, que se hace en un minuto."
Samsung,T7 SSD 4TB,almacenamiento externo,puerto_usb_c,windows|macos|linux|notebook|pc_escritorio|ps5|ps4|xbox|smart_tv,puerto_usb_c,,,"Se conecta por USB-C. Si tu equipo solo tiene USB comun, necesitas un adaptador. Viene formateado para Windows; en Mac o en la consola hay que reformatearlo, que se hace en un minuto."
SanDisk,Extreme Portable SSD 1TB,almacenamiento externo,puerto_usb_c,windows|macos|linux|notebook|pc_escritorio|ps5|ps4|xbox|smart_tv,puerto_usb_c,,,"Se conecta por USB-C. Si tu equipo solo tiene USB comun, necesitas un adaptador. Viene formateado para Windows; en Mac o en la consola hay que reformatearlo, que se hace en un minuto."
SanDisk,Extreme Portable SSD 2TB,almacenamiento externo,puerto_usb_c,windows|macos|linux|notebook|pc_escritorio|ps5|ps4|xbox|smart_tv,puerto_usb_c,,,"Se conecta por USB-C. Si tu equipo solo tiene USB comun, necesitas un adaptador. Viene formateado para Windows; en Mac o en la consola hay que reformatearlo, que se hace en un minuto."
SanDisk,Extreme Portable SSD 4TB,almacenamiento externo,puerto_usb_c,windows|macos|linux|notebook|pc_escritorio|ps5|ps4|xbox|smart_tv,puerto_usb_c,,,"Se conecta por USB-C. Si tu equipo solo tiene USB comun, necesitas un adaptador. Viene formateado para Windows; en Mac o en la consola hay que reformatearlo, que se hace en un minuto."
SanDisk,Ultra Dual Drive 1TB,almacenamiento externo,puerto_usb_a|puerto_usb_c,windows|macos|linux|notebook|pc_escritorio|ps5|ps4|xbox|smart_tv|android,puerto_usb_a|puerto_usb_c,,,"Tiene los dos conectores, USB-A y USB-C: sirve para pasar archivos de la compu al celular sin adaptador. Viene formateado para Windows; en Mac o en la consola hay que reformatearlo, que se hace en un minuto."
SanDisk,Ultra Dual Drive 2TB,almacenamiento externo,puerto_usb_a|puerto_usb_c,windows|macos|linux|notebook|pc_escritorio|ps5|ps4|xbox|smart_tv|android,puerto_usb_a|puerto_usb_c,,,"Tiene los dos conectores, USB-A y USB-C: sirve para pasar archivos de la compu al celular sin adaptador. Viene formateado para Windows; en Mac o en la consola hay que reformatearlo, que se hace en un minuto."
SanDisk,Ultra Dual Drive 4TB,almacenamiento externo,puerto_usb_a|puerto_usb_c,windows|macos|linux|notebook|pc_escritorio|ps5|ps4|xbox|smart_tv|android,puerto_usb_a|puerto_usb_c,,,"Tiene los dos conectores, USB-A y USB-C: sirve para pasar archivos de la compu al celular sin adaptador. Viene formateado para Windows; en Mac o en la consola hay que reformatearlo, que se hace en un minuto."
SanDisk,Ultra Flair 1TB,almacenamiento externo,puerto_usb_a,windows|macos|linux|notebook|pc_escritorio|ps5|ps4|xbox|smart_tv,puerto_usb_a,,,"Se conecta por USB comun, no necesita fuente ni instalar nada. Viene formateado para Windows; en Mac o en la consola hay que reformatearlo, que se hace en un minuto."
SanDisk,Ultra Flair 2TB,almacenamiento externo,puerto_usb_a,windows|macos|linux|notebook|pc_escritorio|ps5|ps4|xbox|smart_tv,puerto_usb_a,,,"Se conecta por USB comun, no necesita fuente ni instalar nada. Viene formateado para Windows; en Mac o en la consola hay que reformatearlo, que se hace en un minuto."
SanDisk,Ultra Flair 4TB,almacenamiento externo,puerto_usb_a,windows|macos|linux|notebook|pc_escritorio|ps5|ps4|xbox|smart_tv,puerto_usb_a,,,"Se conecta por USB comun, no necesita fuente ni instalar nada. Viene formateado para Windows; en Mac o en la consola hay que reformatearlo, que se hace en un minuto."
Seagate,Expansion 1TB,almacenamiento externo,puerto_usb_a,windows|macos|linux|notebook|pc_escritorio|ps5|ps4|xbox|smart_tv,puerto_usb_a,,,"Se conecta por USB comun, no necesita fuente ni instalar nada. Viene formateado para Windows; en Mac o en la consola hay que reformatearlo, que se hace en un minuto."
Seagate,Expansion 2TB,almacenamiento externo,puerto_usb_a,windows|macos|linux|notebook|pc_escritorio|ps5|ps4|xbox|smart_tv,puerto_usb_a,,,"Se conecta por USB comun, no necesita fuente ni instalar nada. Viene formateado para Windows; en Mac o en la consola hay que reformatearlo, que se hace en un minuto."
Seagate,Expansion 4TB,almacenamiento externo,puerto_usb_a,windows|macos|linux|notebook|pc_escritorio|ps5|ps4|xbox|smart_tv,puerto_usb_a,,,"Se conecta por USB comun, no necesita fuente ni instalar nada. Viene formateado para Windows; en Mac o en la consola hay que reformatearlo, que se hace en un minuto."
Seagate,One Touch 1TB,almacenamiento externo,puerto_usb_a,windows|macos|linux|notebook|pc_escritorio|ps5|ps4|xbox|smart_tv,puerto_usb_a,,,"Se conecta por USB comun, no necesita fuente ni instalar nada. Viene formateado para Windows; en Mac o en la consola hay que reformatearlo, que se hace en un minuto."
Seagate,One Touch 2TB,almacenamiento externo,puerto_usb_a,windows|macos|linux|notebook|pc_escritorio|ps5|ps4|xbox|smart_tv,puerto_usb_a,,,"Se conecta por USB comun, no necesita fuente ni instalar nada. Viene formateado para Windows; en Mac o en la consola hay que reformatearlo, que se hace en un minuto."
Seagate,One Touch 4TB,almacenamiento externo,puerto_usb_a,windows|macos|linux|notebook|pc_escritorio|ps5|ps4|xbox|smart_tv,puerto_usb_a,,,"Se conecta por USB comun, no necesita fuente ni instalar nada. Viene formateado para Windows; en Mac o en la consola hay que reformatearlo, que se hace en un minuto."
Toshiba,Canvio Advance 1TB,almacenamiento externo,puerto_usb_a,windows|macos|linux|notebook|pc_escritorio|ps5|ps4|xbox|smart_tv,puerto_usb_a,,,"Se conecta por USB comun, no necesita fuente ni instalar nada. Viene formateado para Windows; en Mac o en la consola hay que reformatearlo, que se hace en un minuto."
Toshiba,Canvio Advance 2TB,almacenamiento externo,puerto_usb_a,windows|macos|linux|notebook|pc_escritorio|ps5|ps4|xbox|smart_tv,puerto_usb_a,,,"Se conecta por USB comun, no necesita fuente ni instalar nada. Viene formateado para Windows; en Mac o en la consola hay que reformatearlo, que se hace en un minuto."
Toshiba,Canvio Advance 4TB,almacenamiento externo,puerto_usb_a,windows|macos|linux|notebook|pc_escritorio|ps5|ps4|xbox|smart_tv,puerto_usb_a,,,"Se conecta por USB comun, no necesita fuente ni instalar nada. Viene formateado para Windows; en Mac o en la consola hay que reformatearlo, que se hace en un minuto."
Toshiba,Canvio Basics 1TB,almacenamiento externo,puerto_usb_a,windows|macos|linux|notebook|pc_escritorio|ps5|ps4|xbox|smart_tv,puerto_usb_a,,,"Se conecta por USB comun, no necesita fuente ni instalar nada. Viene formateado para Windows; en Mac o en la consola hay que reformatearlo, que se hace en un minuto."
Toshiba,Canvio Basics 2TB,almacenamiento externo,puerto_usb_a,windows|macos|linux|notebook|pc_escritorio|ps5|ps4|xbox|smart_tv,puerto_usb_a,,,"Se conecta por USB comun, no necesita fuente ni instalar nada. Viene formateado para Windows; en Mac o en la consola hay que reformatearlo, que se hace en un minuto."
Toshiba,Canvio Basics 4TB,almacenamiento externo,puerto_usb_a,windows|macos|linux|notebook|pc_escritorio|ps5|ps4|xbox|smart_tv,puerto_usb_a,,,"Se conecta por USB comun, no necesita fuente ni instalar nada. Viene formateado para Windows; en Mac o en la consola hay que reformatearlo, que se hace en un minuto."
Western Digital,Elements 1TB,almacenamiento externo,puerto_usb_a,windows|macos|linux|notebook|pc_escritorio|ps5|ps4|xbox|smart_tv,puerto_usb_a,,,"Se conecta por USB comun, no necesita fuente ni instalar nada. Viene formateado para Windows; en Mac o en la consola hay que reformatearlo, que se hace en un minuto."
Western Digital,Elements 2TB,almacenamiento externo,puerto_usb_a,windows|macos|linux|notebook|pc_escritorio|ps5|ps4|xbox|smart_tv,puerto_usb_a,,,"Se conecta por USB comun, no necesita fuente ni instalar nada. Viene formateado para Windows; en Mac o en la consola hay que reformatearlo, que se hace en un minuto."
Western Digital,Elements 4TB,almacenamiento externo,puerto_usb_a,windows|macos|linux|notebook|pc_escritorio|ps5|ps4|xbox|smart_tv,puerto_usb_a,,,"Se conecta por USB comun, no necesita fuente ni instalar nada. Viene formateado para Windows; en Mac o en la consola hay que reformatearlo, que se hace en un minuto."
Western Digital,My Passport 1TB,almacenamiento externo,puerto_usb_a,windows|macos|linux|notebook|pc_escritorio|ps5|ps4|xbox|smart_tv,puerto_usb_a,,,"Se conecta por USB comun, no necesita fuente ni instalar nada. Viene formateado para Windows; en Mac o en la consola hay que reformatearlo, que se hace en un minuto."
Western Digital,My Passport 2TB,almacenamiento externo,puerto_usb_a,windows|macos|linux|notebook|pc_escritorio|ps5|ps4|xbox|smart_tv,puerto_usb_a,,,"Se conecta por USB comun, no necesita fuente ni instalar nada. Viene formateado para Windows; en Mac o en la consola hay que reformatearlo, que se hace en un minuto."
Western Digital,My Passport 4TB,almacenamiento externo,puerto_usb_a,windows|macos|linux|notebook|pc_escritorio|ps5|ps4|xbox|smart_tv,puerto_usb_a,,,"Se conecta por USB comun, no necesita fuente ni instalar nada. Viene formateado para Windows; en Mac o en la consola hay que reformatearlo, que se hace en un minuto."
HyperX,Cloud Alpha,auriculares,jack_35,windows|macos|linux|notebook|pc_escritorio|ps5|ps4|xbox|nintendo_switch|android|ios,jack_35,,,"Conector de 3.5 mm: andan con la compu, la consola y el celular que tenga entrada de auriculares."
HyperX,Cloud II,auriculares,jack_35,windows|macos|linux|notebook|pc_escritorio|ps5|ps4|xbox|nintendo_switch|android|ios,jack_35,,,"Conector de 3.5 mm: andan con la compu, la consola y el celular que tenga entrada de auriculares."
HyperX,Cloud III,auriculares,jack_35,windows|macos|linux|notebook|pc_escritorio|ps5|ps4|xbox|nintendo_switch|android|ios,jack_35,,,"Conector de 3.5 mm: andan con la compu, la consola y el celular que tenga entrada de auriculares."
HyperX,Cloud Stinger 2,auriculares,jack_35,windows|macos|linux|notebook|pc_escritorio|ps5|ps4|xbox|nintendo_switch|android|ios,jack_35,,,"Conector de 3.5 mm: andan con la compu, la consola y el celular que tenga entrada de auriculares."
JBL,Quantum 200,auriculares,jack_35,windows|macos|linux|notebook|pc_escritorio|ps5|ps4|xbox|nintendo_switch|android|ios,jack_35,,,"Conector de 3.5 mm: andan con la compu, la consola y el celular que tenga entrada de auriculares."
JBL,Tune 510BT,auriculares,bluetooth,windows|macos|linux|notebook|pc_escritorio|android|ios,bluetooth,,,"Solo Bluetooth: se emparejan con la compu, el celular o la tablet."
JBL,Tune 520BT,auriculares,bluetooth,windows|macos|linux|notebook|pc_escritorio|android|ios,bluetooth,,,"Solo Bluetooth: se emparejan con la compu, el celular o la tablet."
