conv_id,escenario,turno,mensaje,respuesta,tiempo_seg,fallback,error
c01_explorar_y_cerrar,"Explorar mouse, elegir, calcular envio interior, confirmar y dar datos",1,"Hola, buenas","¡Hola! ¿Cómo estás? Soy tu asistente virtual de Verifika Demo. Contame, ¿en qué puedo darte una mano hoy?",12.6,no,no
c01_explorar_y_cerrar,"Explorar mouse, elegir, calcular envio interior, confirmar y dar datos",2,Estoy buscando un mouse para jugar,"¡Genial! Para jugar tengo varias opciones. Te puedo ofrecer el Mouse Logitech G203 Lightsync, que es un mouse gamer con iluminación RGB y sensor óptico de 8000 DPI, ideal para gaming de entrada. Sale $38.000. También tengo el Mouse Razer DeathAdder V3, que es inalámbrico, con un sensor Focus Pro de 30000 DPI y es súper liviano, pensado para gaming profesional. Ese está $125.000. ¿Alguno de estos te interesa?",7.9,no,no
c01_explorar_y_cerrar,"Explorar mouse, elegir, calcular envio interior, confirmar y dar datos",3,cual me conviene de esos dos?,"Disculpame, parece que hubo un error y no pude encontrar los detalles de esos productos en este momento. Para poder ayudarte mejor a elegir, ¿buscás algo para gaming de entrada o ya sos un gamer más experimentado y preferís algo de gama alta?",7.6,no,no
c01_explorar_y_cerrar,"Explorar mouse, elegir, calcular envio interior, confirmar y dar datos",4,el mas barato cuanto sale?,"El mouse gamer más económico que tengo es el Mouse Logitech G203 Lightsync a $38.000. Es un mouse con iluminación RGB y sensor óptico de 8000 DPI, ideal para gaming de entrada.",5.0,no,no
c01_explorar_y_cerrar,"Explorar mouse, elegir, calcular envio interior, confirmar y dar datos",5,y con envio a Cordoba capital?,El envío a Córdoba capital para el Mouse Logitech G203 Lightsync te saldría entre $5.000 y $12.000. El monto exacto depende de la dirección específica.,4.9,no,no
c01_explorar_y_cerrar,"Explorar mouse, elegir, calcular envio interior, confirmar y dar datos",6,"es a Nueva Cordoba, barrio centrico","El envío a Nueva Córdoba, Córdoba Capital, para el Mouse Logitech G203 Lightsync te saldría entre $5.000 y $12.000. El monto exacto depende de la dirección específica.",5.1,no,no
c01_explorar_y_cerrar,"Explorar mouse, elegir, calcular envio interior, confirmar y dar datos",7,"dale, me lo llevo","Disculpame, parece que hubo un problema al procesar el pedido del Mouse Logitech G203 Lightsync. No pude encontrarlo en el sistema. ¿Podrías confirmarme el nombre del producto o si te referías a otro?",6.4,no,no
c01_explorar_y_cerrar,"Explorar mouse, elegir, calcular envio interior, confirmar y dar datos",8,pago por transferencia,"Disculpame, parece que hubo un problema al procesar el pedido del Mouse Logitech G203 Lightsync. No pude encontrarlo en el sistema. ¿Podrías confirmarme el nombre del producto o si te referías a otro?",4.9,no,no
c01_explorar_y_cerrar,"Explorar mouse, elegir, calcular envio interior, confirmar y dar datos",9,mi nombre es Martin y mi telefono es 351 5551234,"Disculpame, Martín, parece que el producto ""logitech_g203_lightsync"" no lo estoy encontrando en el sistema. ¿Podrías confirmarme el nombre exacto o si te referías a otro mouse? Así puedo calcular el total con el descuento por transferencia y el envío a Nueva Córdoba.",5.5,no,no
c02_cambio_de_opinion,"Arranca por teclado y a mitad cambia a monitor, obliga a re-buscar y recalcular sin perder el hilo",1,"buenas, tenes teclados mecanicos?","¡Hola! Sí, tenemos varios teclados mecánicos. Te puedo ofrecer: Teclado Logitech G915 TKL a $485.000 Teclado Razer BlackWidow V4 a $295.000 Teclado HyperX Alloy Origins a $165.000 ¿Hay alguno que te interese o querés que te cuente más sobre alguno en particular?",5.8,no,no
