conv_id,escenario,turno,mensaje,respuesta,tiempo_seg,fallback,error
c01_explorar_y_cerrar,"Explorar mouse, elegir, calcular envio interior, confirmar y dar datos",1,"Hola, buenas",¡Hola! ¿Cómo estás? ¿En qué puedo ayudarte hoy?,9.5,no,no
c01_explorar_y_cerrar,"Explorar mouse, elegir, calcular envio interior, confirmar y dar datos",2,Estoy buscando un mouse para jugar,"¡Genial! Para jugar tengo varias opciones. Por ejemplo, el Mouse Logitech G203 Lightsync, que es un mouse gamer con iluminación RGB y sensor óptico de 8000 DPI, ideal para gaming de entrada. Cuesta $38.000. También tenés el Mouse Razer DeathAdder V3, que es inalámbrico, con un sensor de 30000 DPI y es súper liviano, pensado para gaming profesional. Este está $125.000. ¿Alguno de estos te interesa o querés que te cuente de alguna otra opción?",9.7,no,no
c01_explorar_y_cerrar,"Explorar mouse, elegir, calcular envio interior, confirmar y dar datos",3,cual me conviene de esos dos?,"Mira, si estás buscando algo para empezar en el gaming, el Logitech G203 Lightsync es una excelente opción por su relación calidad-precio. Ahora, si sos un jugador más exigente o profesional y buscás el mejor rendimiento, el Razer DeathAdder V3 es superior por su sensor de alta precisión y su diseño ultraliviano. ¿Cuál se ajusta más a lo que buscás?",14.3,no,no
c01_explorar_y_cerrar,"Explorar mouse, elegir, calcular envio interior, confirmar y dar datos",4,el mas barato cuanto sale?,"Presupuesto:
- 1x Mouse Genius DX-110: $8.500 c/u = $8.500
Subtotal: $8.500
Total: $8.500",6.4,no,no
c01_explorar_y_cerrar,"Explorar mouse, elegir, calcular envio interior, confirmar y dar datos",5,y con envio a Cordoba capital?,El envío a Córdoba Capital para el Mouse Genius DX-110 tiene un costo que va entre $5.000 y $12.000. Presupuesto: 1x Mouse Genius DX-110: $8.500 c/u = $8.500 Subtotal: $8.500 Envio: entre $5.000 y $12.000 Total: entre $13.500 y $20.500 El monto exacto del envío depende de la localidad.,15.5,no,no
c01_explorar_y_cerrar,"Explorar mouse, elegir, calcular envio interior, confirmar y dar datos",6,"es a Nueva Cordoba, barrio centrico","El envío a Nueva Córdoba, Córdoba Capital, para el Mouse Genius DX-110, tiene un costo que va entre $5.000 y $12.000. Presupuesto: 1x Mouse Genius DX-110: $8.500 c/u = $8.500 Subtotal: $8.500 Envio: entre $5.000 y $12.000 Total: entre $13.500 y $20.500 El monto exacto del envío depende de la localidad.",9.0,no,no
c01_explorar_y_cerrar,"Explorar mouse, elegir, calcular envio interior, confirmar y dar datos",7,"dale, me lo llevo","¡Excelente! Para avanzar con la compra del Mouse Genius DX-110 y coordinar el envío a Nueva Córdoba, necesito que me confirmes tus datos de contacto y la dirección exacta. ¿Me los podrías pasar?",15.3,no,no
c01_explorar_y_cerrar,"Explorar mouse, elegir, calcular envio interior, confirmar y dar datos",8,pago por transferencia,"¡Perfecto! Pagando por transferencia bancaria tenés un 10% de descuento. Para calcular el total con el descuento y el envío a Nueva Córdoba, ¿me podrías confirmar la dirección exacta? Así te paso el monto final.",20.0,no,no
c01_explorar_y_cerrar,"Explorar mouse, elegir, calcular envio interior, confirmar y dar datos",9,mi nombre es Martin y mi telefono es 351 5551234,"Disculpame, Martin. Hubo un error al aplicar el descuento. El descuento por transferencia es del 10%. Para poder confirmarte el total con el descuento y el envío a Nueva Córdoba, necesito que me pases la dirección exacta. Con tu nombre y teléfono ya podemos avanzar.",14.4,no,no
c02_cambio_de_opinion,"Arranca por teclado y a mitad cambia a monitor, obliga a re-buscar y recalcular sin perder el hilo",1,"buenas, tenes teclados mecanicos?","Hola! Sí, tenemos teclados mecánicos. Te gustaría que te muestre algunos modelos?",12.9,no,no
c02_cambio_de_opinion,"Arranca por teclado y a mitad cambia a monitor, obliga a re-buscar y recalcular sin perder el hilo",2,cuanto sale el Redragon?,"Disculpame, no encontré ningún teclado mecánico de la marca Redragon en este momento. Solo tengo la Silla gamer Redragon Coeus a $395.000. Te puedo ofrecer otros teclados mecánicos de otras marcas como Logitech, Razer o HyperX. Te interesa alguno de esos?",14.6,no,no
c02_cambio_de_opinion,"Arranca por teclado y a mitad cambia a monitor, obliga a re-buscar y recalcular sin perder el hilo",3,"mmm, mejor mostrame monitores","Dale, acá te muestro algunos monitores que tenemos: Monitor AOC 27G2: Monitor gamer IPS Full HD 144Hz de 27 pulgadas a $295.000. Monitor LG 24MK430H: Monitor IPS Full HD de 24 pulgadas para oficina a $225.000. Monitor LG UltraGear 27GP850: Monitor gamer Nano IPS QHD 165Hz de 27 pulgadas a $580.000. Monitor Samsung 24 F390: Monitor curvo Full HD de 24 pulgadas para uso general a $165.000. Monitor Samsung Odyssey G5 32: Monitor curvo gamer QHD de 32 pulgadas 144Hz a $485.000. Cuál te interesa?",6.8,no,no
c02_cambio_de_opinion,"Arranca por teclado y a mitad cambia a monitor, obliga a re-buscar y recalcular sin perder el hilo",4,alguno bueno para jugar?,"Esa puntual la tengo que confirmar para no pasarte un dato flojo. La consulto y te aviso, y mientras seguimos con lo que si tengo a mano?",8.1,no,no
c02_cambio_de_opinion,"Arranca por teclado y a mitad cambia a monitor, obliga a re-buscar y recalcular sin perder el hilo",5,el de 27 pulgadas cuanto es?,"Ese valor exacto lo confirmo con el area y te aviso en el momento, no te lo quiero tirar de memoria. Mientras tanto, te muestro lo que si tengo disponible y vamos viendo, dale?",12.9,no,no
c02_cambio_de_opinion,"Arranca por teclado y a mitad cambia a monitor, obliga a re-buscar y recalcular sin perder el hilo",6,"lo queres con el teclado que vimos antes, cuanto me queda todo junto?","Para calcular el total, necesito saber qué teclado te interesa. Mencionaste ""el teclado que vimos antes"", pero no me especificaste cuál de los que te ofrecí.",12.8,no,no
c02_cambio_de_opinion,"Arranca por teclado y a mitad cambia a monitor, obliga a re-buscar y recalcular sin perder el hilo",7,con envio a Rosario,"Para calcular el total con envío a Rosario, necesito que me confirmes qué teclado querés. Me habías preguntado por uno de 27 pulgadas, pero no me dijiste cuál.",13.6,no,no
c02_cambio_de_opinion,"Arranca por teclado y a mitad cambia a monitor, obliga a re-buscar y recalcular sin perder el hilo",8,y si pago en efectivo tengo descuento?,"Sí, pagando por transferencia bancaria tenés un 10% de descuento. Para calcular el total con el monitor de 27 pulgadas, el teclado y el envío a Rosario con el descuento, necesito que me confirmes cuál de los monitores de 27 pulgadas te interesa y qué teclado.",7.1,no,no
c02_cambio_de_opinion,"Arranca por teclado y a mitad cambia a monitor, obliga a re-buscar y recalcular sin perder el hilo",9,"listo, cerralo asi","Para cerrar la compra, necesito que me confirmes qué monitor de 27 pulgadas querés y qué teclado. Una vez que me digas eso, te calculo el total con el descuento por transferencia y el envío a Rosario.",16.0,no,no
c02_cambio_de_opinion,"Arranca por teclado y a mitad cambia a monitor, obliga a re-buscar y recalcular sin perder el hilo",10,"te paso los datos: Juan, 341 5559876","Gracias, Juan! Pero para poder cerrar la compra, necesito que me confirmes qué monitor de 27 pulgadas y qué teclado querés. Una vez que me digas eso, te calculo el total con el descuento por transferencia y el envío a Rosario.",15.1,no,no
c03_servicios_inexistentes,Pide servicios que la tienda online no ofrece y mete presion; el bot no debe inventar ni cortar la venta,1,"hola, una consulta",¡Hola! ¿En qué puedo ayudarte hoy?,4.7,no,no
c03_servicios_inexistentes,Pide servicios que la tienda online no ofrece y mete presion; el bot no debe inventar ni cortar la venta,2,hacen envoltorio para regalo?,"No tenemos servicio de envoltorio para regalo, pero el producto viaja en su caja original sellada, prolijo para regalar. Si te sirve, puedo dejar una nota al despacho para que vaya sin el remito de precio a la vista.",12.9,no,no
c03_servicios_inexistentes,Pide servicios que la tienda online no ofrece y mete presion; el bot no debe inventar ni cortar la venta,3,y lo puedo pasar a retirar por el local?,"No tenemos local físico para retirar, somos una tienda online. Hacemos envíos a domicilio a todo el país.",7.9,no,no
c03_servicios_inexistentes,Pide servicios que la tienda online no ofrece y mete presion; el bot no debe inventar ni cortar la venta,4,me lo instalan o configuran?,No ofrecemos servicios de instalación o configuración. Todos nuestros productos vienen con sus manuales y drivers para que puedas instalarlos fácilmente.,11.9,no,no
c03_servicios_inexistentes,Pide servicios que la tienda online no ofrece y mete presion; el bot no debe inventar ni cortar la venta,5,tienen garantia extendida de 3 anios?,"No ofrecemos garantía extendida de 3 años. Todos nuestros productos tienen la garantía oficial del fabricante, con un mínimo de 6 meses. El detalle exacto de la garantía lo encontrás en la descripción de cada producto.",6.4,no,no
c03_servicios_inexistentes,Pide servicios que la tienda online no ofrece y mete presion; el bot no debe inventar ni cortar la venta,6,"bueno, igual me interesa unos auriculares gamer","¡Excelente! Tenemos varias opciones de auriculares gamer. Por ejemplo, los Auriculares HyperX Cloud II a $125.000, con sonido virtual 7.1 y micrófono extraíble, ideales para gaming. También están los Auriculares Logitech G Pro X a $285.000, que son profesionales con tecnología Blue VO!CE, perfectos para esports. ¿Te gustaría saber más sobre alguno de estos o preferís que te muestre otras opciones?",14.7,no,no
c03_servicios_inexistentes,Pide servicios que la tienda online no ofrece y mete presion; el bot no debe inventar ni cortar la venta,7,el HyperX cuanto sale?,"Presupuesto:
- 1x Auriculares HyperX Cloud II: $125.000 c/u = $125.000
Subtotal: $125.000
Total: $125.000",13.1,no,no
