id,nombre,categoria,precio_ars,stock,descripcion,marca,modelo,color,material,peso_gramos,dimensiones,garantia_meses,uso_recomendado,caracteristicas_extra,tags,descripcion_rica,origen,contenido_caja,garantia_detalle
MOU0001,Mouse Logitech G203 Lightsync Negro,mouse,37500,5,"Logitech G203 Lightsync, color Negro. sensor optico. peso 144g. dimensiones 10.9x6.9x3.7 cm. Material Plastico ABS. Garantia oficial 24 meses. Ideal para Gaming.",Logitech,G203 Lightsync,Negro,Plastico ABS,144,10.9x6.9x3.7 cm,24,Gaming,sensor optico,"g203, g203 lightsync, gamer, gaming, lightsync, logitech, mause, mouse, optico, puntero, raton, sensor optico","Logitech G203 Lightsync, color Negro. sensor optico. peso 144g. dimensiones 10.9x6.9x3.7 cm. Material Plastico ABS. Garantia oficial 24 meses. Ideal para Gaming.",Marca Logitech de Suiza. Fabricado en China.,"Mouse, cable o receptor USB segun version, manual de garantia","Garantia oficial Logitech de 24 meses por defectos de fabricacion, gestionada con el servicio tecnico autorizado en Argentina. No cubre danos por mal uso, golpes ni humedad."
MOU0002,Mouse Logitech G203 Lightsync Blanco,mouse,37500,2,"Logitech G203 Lightsync, color Blanco. sensor optico. peso 100g. dimensiones 11.3x6.0x3.9 cm. Material Plastico ABS. Garantia oficial 24 meses. Ideal para Gaming.",Logitech,G203 Lightsync,Blanco,Plastico ABS,100,11.3x6.0x3.9 cm,24,Gaming,sensor optico,"blanco, g203, g203 lightsync, gamer, gaming, lightsync, logitech, mause, mouse, optico, puntero, raton, sensor optico","Logitech G203 Lightsync, color Blanco. sensor optico. peso 100g. dimensiones 11.3x6.0x3.9 cm. Material Plastico ABS. Garantia oficial 24 meses. Ideal para Gaming.",Marca Logitech de Suiza. Fabricado en China.,"Mouse, cable o receptor USB segun version, manual de garantia","Garantia oficial Logitech de 24 meses por defectos de fabricacion, gestionada con el servicio tecnico autorizado en Argentina. No cubre danos por mal uso, golpes ni humedad."
MOU0003,Mouse Logitech G502 Hero Negro,mouse,70000,0,"Logitech G502 Hero, color Negro. sensor optico. peso 144g. dimensiones 12.2x7.1x4.1 cm. Material Plastico ABS. Garantia oficial 24 meses. Ideal para Gaming.",Logitech,G502 Hero,Negro,Plastico ABS,144,12.2x7.1x4.1 cm,24,Gaming,sensor optico,"g502, g502 hero, gamer, gaming, hero, logitech, mause, mouse, optico, puntero, raton, sensor optico","Logitech G502 Hero, color Negro. sensor optico. peso 144g. dimensiones 12.2x7.1x4.1 cm. Material Plastico ABS. Garantia oficial 24 meses. Ideal para Gaming.",Marca Logitech de Suiza. Fabricado en China.,"Mouse, cable o receptor USB segun version, manual de garantia","Garantia oficial Logitech de 24 meses por defectos de fabricacion, gestionada con el servicio tecnico autorizado en Argentina. No cubre danos por mal uso, golpes ni humedad."
MOU0004,Mouse Logitech G502 Hero Blanco,mouse,70000,2,"Logitech G502 Hero, color Blanco. sensor optico. peso 87g. dimensiones 11.8x7.1x3.6 cm. Material Plastico ABS. Garantia oficial 24 meses. Ideal para Gaming.",Logitech,G502 Hero,Blanco,Plastico ABS,87,11.8x7.1x3.6 cm,24,Gaming,sensor optico,"blanco, g502, g502 hero, gamer, gaming, hero, logitech, mause, mouse, optico, puntero, raton, sensor optico","Logitech G502 Hero, color Blanco. sensor optico. peso 87g. dimensiones 11.8x7.1x3.6 cm. Material Plastico ABS. Garantia oficial 24 meses. Ideal para Gaming.",Marca Logitech de Suiza. Fabricado en China.,"Mouse, cable o receptor USB segun version, manual de garantia","Garantia oficial Logitech de 24 meses por defectos de fabricacion, gestionada con el servicio tecnico autorizado en Argentina. No cubre danos por mal uso, golpes ni humedad."
MOU0005,Mouse Logitech G Pro X Superlight Negro,mouse,163000,5,"Logitech G Pro X Superlight, color Negro. sensor optico. peso 83g. dimensiones 12.2x6.6x4.1 cm. Material Plastico ABS. Garantia oficial 24 meses. Ideal para Gaming.",Logitech,G Pro X Superlight,Negro,Plastico ABS,83,12.2x6.6x4.1 cm,24,Gaming,sensor optico,"g pro x superlight, gamer, gaming, logitech, mause, mouse, optico, pro, puntero, raton, sensor optico, superlight","Logitech G Pro X Superlight, color Negro. sensor optico. peso 83g. dimensiones 12.2x6.6x4.1 cm. Material Plastico ABS. Garantia oficial 24 meses. Ideal para Gaming.",Marca Logitech de Suiza. Fabricado en China.,"Mouse, cable o receptor USB segun version, manual de garantia","Garantia oficial Logitech de 24 meses por defectos de fabricacion, gestionada con el servicio tecnico autorizado en Argentina. No cubre danos por mal uso, golpes ni humedad."
MOU0006,Mouse Logitech G Pro X Superlight Blanco,mouse,163000,19,"Logitech G Pro X Superlight, color Blanco. sensor optico. peso 142g. dimensiones 11.3x6.0x4.2 cm. Material Plastico ABS. Garantia oficial 24 meses. Ideal para Gaming.",Logitech,G Pro X Superlight,Blanco,Plastico ABS,142,11.3x6.0x4.2 cm,24,Gaming,sensor optico,"blanco, g pro x superlight, gamer, gaming, logitech, mause, mouse, optico, pro, puntero, raton, sensor optico, superlight","Logitech G Pro X Superlight, color Blanco. sensor optico. peso 142g. dimensiones 11.3x6.0x4.2 cm. Material Plastico ABS. Garantia oficial 24 meses. Ideal para Gaming.",Marca Logitech de Suiza. Fabricado en China.,"Mouse, cable o receptor USB segun version, manual de garantia","Garantia oficial Logitech de 24 meses por defectos de fabricacion, gestionada con el servicio tecnico autorizado en Argentina. No cubre danos por mal uso, golpes ni humedad."
MOU0007,Mouse Logitech MX Master 3S Negro,mouse,203000,7,"Logitech MX Master 3S, color Negro. sensor optico. peso 128g. dimensiones 12.1x6.9x4.0 cm. Material Plastico ABS. Garantia oficial 24 meses. Ideal para Gaming.",Logitech,MX Master 3S,Negro,Plastico ABS,128,12.1x6.9x4.0 cm,24,Gaming,sensor optico,"gamer, gaming, logitech, master, mause, mouse, mx master 3s, optico, puntero, raton, sensor optico","Logitech MX Master 3S, color Negro. sensor optico. peso 128g. dimensiones 12.1x6.9x4.0 cm. Material Plastico ABS. Garantia oficial 24 meses. Ideal para Gaming.",Marca Logitech de Suiza. Fabricado en China.,"Mouse, cable o receptor USB segun version, manual de garantia","Garantia oficial Logitech de 24 meses por defectos de fabricacion, gestionada con el servicio tecnico autorizado en Argentina. No cubre danos por mal uso, golpes ni humedad."
MOU0008,Mouse Logitech MX Master 3S Blanco,mouse,203000,12,"Logitech MX Master 3S, color Blanco. sensor optico. peso 143g. dimensiones 12.7x6.8x3.8 cm. Material Plastico ABS. Garantia oficial 24 meses. Ideal para Gaming.",Logitech,MX Master 3S,Blanco,Plastico ABS,143,12.7x6.8x3.8 cm,24,Gaming,sensor optico,"blanco, gamer, gaming, logitech, master, mause, mouse, mx master 3s, optico, puntero, raton, sensor optico","Logitech MX Master 3S, color Blanco. sensor optico. peso 143g. dimensiones 12.7x6.8x3.8 cm. Material Plastico ABS. Garantia oficial 24 meses. Ideal para Gaming.",Marca Logitech de Suiza. Fabricado en China.,"Mouse, cable o receptor USB segun version, manual de garantia","Garantia oficial Logitech de 24 meses por defectos de fabricacion, gestionada con el servicio tecnico autorizado en Argentina. No cubre danos por mal uso, golpes ni humedad."
MOU0009,Mouse Logitech M170 Negro,mouse,12000,16,"Logitech M170, color Negro. sensor optico. peso 85g. dimensiones 12.6x6.2x4.4 cm. Material Plastico ABS. Garantia oficial 24 meses. Ideal para Gaming.",Logitech,M170,Negro,Plastico ABS,85,12.6x6.2x4.4 cm,24,Gaming,sensor optico,"gamer, gaming, logitech, m170, mause, mouse, optico, puntero, raton, sensor optico","Logitech M170, color Negro. sensor optico. peso 85g. dimensiones 12.6x6.2x4.4 cm. Material Plastico ABS. Garantia oficial 24 meses. Ideal para Gaming.",Marca Logitech de Suiza. Fabricado en China.,"Mouse, cable o receptor USB segun version, manual de garantia","Garantia oficial Logitech de 24 meses por defectos de fabricacion, gestionada con el servicio tecnico autorizado en Argentina. No cubre danos por mal uso, golpes ni humedad."
MOU0010,Mouse Logitech M170 Blanco,mouse,12000,17,"Logitech M170, color Blanco. sensor optico. peso 75g. dimensiones 12.6x6.0x4.0 cm. Material Plastico ABS. Garantia oficial 24 meses. Ideal para Gaming.",Logitech,M170,Blanco,Plastico ABS,75,12.6x6.0x4.0 cm,24,Gaming,sensor optico,"blanco, gamer, gaming, logitech, m170, mause, mouse, optico, puntero, raton, sensor optico","Logitech M170, color Blanco. sensor optico. peso 75g. dimensiones 12.6x6.0x4.0 cm. Material Plastico ABS. Garantia oficial 24 meses. Ideal para Gaming.",Marca Logitech de Suiza. Fabricado en China.,"Mouse, cable o receptor USB segun version, manual de garantia","Garantia oficial Logitech de 24 meses por defectos de fabricacion, gestionada con el servicio tecnico autorizado en Argentina. No cubre danos por mal uso, golpes ni humedad."
