tema,keywords,respuesta
ubicacion,"ubicacion,ubicados,donde estan,direccion,local,fisico,sucursal","Somos solo online, no tenemos local fisico. Despachamos desde Buenos Aires a todo el pais."
horarios,"horarios,horario,atienden,atencion,horas","Atendemos de lunes a viernes de 9 a 18 hs y sabados de 10 a 13 hs por WhatsApp y mail."
formas_pago,"pago,pagos,formas de pago,medios de pago,cobran,como pago,como pagar","Aceptamos transferencia bancaria, Mercado Pago, tarjetas de credito y debito Visa, Mastercard y American Express."
cuotas,"cuotas,financiacion,sin interes,plan","Tenemos hasta 6 cuotas sin interes con Visa y Mastercard. Hasta 12 cuotas con interes."
envios,"envio,envios,envian,mandan,llega,llegan,entregan,a todo el pais","Hacemos envios a todo el pais por Andreani y OCA."
costo_envio,"costo envio,cuanto sale el envio,precio envio,cuanto cuesta envio","Envio a CABA y GBA $3.000. Interior segun localidad entre $5.000 y $12.000. Envio gratis en compras superiores a $250.000."
plazo_envio,"cuanto tarda,plazo envio,demora,cuando llega,dias","CABA y GBA 2 a 3 dias habiles desde el pago acreditado. Interior 4 a 7 dias habiles."
garantia,"garantia,garantizan,defectos,roto","Todos los productos tienen garantia oficial del fabricante, minimo 6 meses. El detalle exacto figura en cada producto."
devoluciones,"devolucion,devoluciones,arrepentimiento,devolver,cambiar","Tenes 10 dias corridos desde la recepcion para arrepentirte. El producto debe estar sin uso y en su empaque original."
factura,"factura,facturacion,factura a,factura b,iva","Emitimos factura A y factura B segun corresponda. Todos los precios incluyen IVA."
descuento_transferencia,"descuento,transferencia,efectivo,rebaja","Tenemos 10 por ciento de descuento pagando por transferencia bancaria."
redes,"instagram,redes,web,pagina,sitio,facebook","Estamos en Instagram como arroba verifikademo y nuestra web es verifikademo.com.ar"
contacto_humano,"hablar con humano,asesor,persona,encargado,dueno,urgente","Para casos urgentes te podemos derivar al WhatsApp del encargado. Decime tu consulta y armamos el contacto."
asesoramiento,"asesoran,consultar,ayuda,recomendacion,antes de comprar","Si, asesoramos antes de comprar por WhatsApp y chat. Contanos que necesitas y te ayudamos a elegir."
reservas,"sin stock,reservar,reserva,sena,encargar,esperar","Si no tenemos stock podemos tomar reserva con sena del 20 por ciento. El plazo depende del producto y proveedor."
marcas_originales,"originales,truchos,replica,oficial,marca","Todas las marcas que vendemos son originales con garantia oficial del fabricante."
usados,"usados,reacondicionados,segunda mano,refurbished","No vendemos usados ni reacondicionados. Solo productos nuevos en su empaque original."
precios_iva,"iva,precio final,precio incluye,impuestos","Todos los precios publicados ya incluyen IVA, son precios finales para consumidor final."
defectuoso,"defectuoso,llego roto,no funciona,cambio defecto","Si el producto llega defectuoso lo cambiamos sin costo dentro de los primeros 7 dias desde la recepcion."
envio_urgente,"urgente,express,mismo dia,rapido,24 horas","Hacemos envios express en CABA y GBA con costo extra y entrega en 24 horas habiles."
mayoristas,"mayorista,revendedor,reventa,por cantidad","Para compras mayoristas o reventa tenemos precios especiales. Contanos cuanto pensas comprar y armamos cotizacion."
formas_contacto,"contacto,telefono,whatsapp,mail,email","Nos podes contactar por WhatsApp o mail. Atencion humana de lunes a viernes de 9 a 18 hs."
envoltorio_regalo,"envoltorio,para regalo,envolver,papel de regalo,mono,regalo","No tenemos servicio de envoltorio para regalo. De todos modos el producto viaja en su caja original sellada, prolijo para regalar. Si te sirve, puedo dejar una nota al despacho para que vaya sin el remito de precio a la vista."
