id,categoria,comportamiento_esperado,pregunta,respuesta,latencia_ms,longitud_respuesta,es_fallback,juicios_valor_detectados,error,user_id
P001,control_social,responder_sin_bloquear,Hola buenas tardes,"¡Hola de nuevo! Decime qué necesitás, estoy acá para ayudarte. ¿Buscás algo de tecnología o periféricos gamer?",4598,110,no,,,test_prueba_P001
P002,control_social,responder_sin_bloquear,Que tal como andas,"¡Bien, bien! Acá andamos, listo para lo que necesites. ¿Estás buscando algún producto en particular o tenés alguna consulta sobre la tienda? Decime y te ayudo.",3085,159,no,,,test_prueba_P002
P003,control_consulta,responder_sin_bloquear,Tenes mouse,"Sí, tenemos **5 modelos de mouse** en stock: 1. **Mouse Genius DX-110** - $8.500 (básico oficina, cable) 2. **Mouse Logitech M170** - $12.000 (inalámbrico, oficina/hogar) 3. **Mouse Logitech G203 Lightsync** - $38.000 (gamer entry, RGB) 4. **Mouse Razer DeathAdder V3** - $125.000 (gamer profesional, inalámbrico, ultra liviano 59g) 5. **Mouse Logitech MX Master 3S** - $210.000 (productividad profesional, ergonómico) ¿Para qué lo querés usar? Así te tiro la posta de cuál te conviene más.",4132,490,no,te conviene,,test_prueba_P003
P004,control_consulta,responder_sin_bloquear,Que teclados tenes en stock,"Ahí va, estos son los teclados que tenemos en stock: 1. **Teclado Genius KB-110X** - $12.000 (Oficina básico, membrana, negro) 2. **Teclado Logitech K380** - $55.000 (Inalámbrico Bluetooth, compacto, rosa) 3. **Teclado HyperX Alloy Origins** - $165.000 (Mecánico, switches Red lineales, RGB, negro) 4. **Teclado Razer BlackWidow V4** - $295.000 (Mecánico full size, switches verdes, RGB Chroma, negro) 5. **Teclado Logitech G915 TKL** - $485.000 (Mecánico inalámbrico low profile, tenkeyless, negro carbón) ¿Qué uso le pensás dar? Así te puedo recomendar cuál te puede ir mejor.",4541,578,no,,,test_prueba_P004
P005,control_consulta,responder_sin_bloquear,Cuanto sale el mouse Logitech G203,"El **Mouse Logitech G203 Lightsync** está **$38.000**. Lo tenemos en color Negro con 12 unidades en stock. Es un mouse gamer entry level con sensor óptico de 8000 DPI, iluminación RGB Lightsync y 6 botones programables. ¿Te copa?",3257,229,no,,,test_prueba_P005
P006,control_atributo_real,responder_sin_bloquear,Que color tiene el Mouse Razer DeathAdder V3,"El **Mouse Razer DeathAdder V3** viene en color **Negro**. Es inalámbrico, ultra liviano de 59 gramos, con sensor Focus Pro de 30.000 DPI y está a **$125.000**. Tenemos 8 unidades en stock. ¿Te lo llevás?",3023,204,no,,,test_prueba_P006
P007,control_atributo_real,responder_sin_bloquear,Cuanta garantia tiene el MX Master 3S,"El **Mouse Logitech MX Master 3S** tiene una garantía de **12 meses**. ¿Necesitás que te cuente el precio, formas de pago o algo más?",2852,133,no,,,test_prueba_P007
P008,control_atributo_real,responder_sin_bloquear,De que material es el Mouse Genius DX-110,"El **Mouse Genius DX-110** es de material **plástico**, color negro. Es un mouse óptico básico con cable USB de 1000 DPI, pesa 90 gramos y viene con 6 meses de garantía. Lo tenemos en stock a **$8.500**. ¿Te sirve o necesitás algo más?",3021,235,no,,,test_prueba_P008
P009,control_atributo_real,responder_sin_bloquear,Cuanto pesa el Logitech G203,"El **Mouse Logitech G203 Lightsync** pesa **85 gramos**. Tiene sensor óptico de 8000 DPI, iluminación RGB Lightsync, cable trenzado y 6 botones programables. Está **$38.000** con 12 unidades en stock. ¿Te sirve o querés ver algo más?",3626,233,no,,,test_prueba_P009
P010,control_atributo_real,responder_sin_bloquear,Que dimensiones tiene el Mouse Razer DeathAdder V3,"Ahí está confirmado. El **Mouse Razer DeathAdder V3** tiene dimensiones de **12,8 x 6,8 x 4,4 cm** (largo x ancho x alto), pesa solo **59 gramos** y es inalámbrico. Lo tenemos en stock a **$125.000**. ¿Te interesa llevarlo?",3675,223,no,,,test_prueba_P010
