conv_id,escenario,turno,mensaje,respuesta,tiempo_seg,fallback,error
c01_explorar_y_cerrar,"Explorar mouse, elegir, calcular envio interior, confirmar y dar datos",1,"Hola, buenas","Hola, buenas! Estamos para ayudarte con lo que necesites. Atendemos de lunes a viernes de 9 a 18 hs y sabados de 10 a 13 hs por WhatsApp y mail. ¿En qué te podemos ayudar hoy?",12.8,no,no
c01_explorar_y_cerrar,"Explorar mouse, elegir, calcular envio interior, confirmar y dar datos",2,Estoy buscando un mouse para jugar,"Lo siento, no encontramos mouses para jugar. Te podemos ofrecer auriculares gamer como el HyperX Cloud II o el Logitech G Pro X, que son ideales para gaming y tienen sonido virtual 7.1 y microfono extraible. ¿Te gustaria ver mas detalles de estos auriculares?",28.4,no,no
c01_explorar_y_cerrar,"Explorar mouse, elegir, calcular envio interior, confirmar y dar datos",3,cual me conviene de esos dos?,"Te conviene el mouse Logitech G203 Lightsync porque es un mouse gamer con iluminacion RGB Lightsync y sensor optico de 8000 DPI, que es ideal para gaming entry. Tiene una conexion USB con cable trenzado, 6 botones programables y RGB personalizable via software G HUB. El precio es de $38.000. Otra opcion es el mouse Razer DeathAdder V3, que es un mouse gamer inalambrico con sensor Focus Pro de 30000 DPI ultra liviano, ideal para gaming profesional. Tiene una bateria que dura hasta 90 horas, sensor optico y 8 botones programables via Razer Synapse. El precio es de $125.000. Ambos mouses son de buena calidad y tienen caracteristicas avanzadas, pero el Logitech G203 Lightsync es mas asequible y el Razer DeathAdder V3 es mas premium. ¿Te gustaria ver mas detalles de alguno de estos mouses?",36.9,no,no
c01_explorar_y_cerrar,"Explorar mouse, elegir, calcular envio interior, confirmar y dar datos",4,el mas barato cuanto sale?,"El mouse Logitech G203 Lightsync sale $38.000. Es un mouse gamer con iluminacion RGB Lightsync y sensor optico de 8000 DPI, ideal para gaming entry. Tiene una conexion USB con cable trenzado, 6 botones programables y RGB personalizable via software G HUB. ¿Te gustaria ver mas detalles de este mouse?",26.1,no,no
c01_explorar_y_cerrar,"Explorar mouse, elegir, calcular envio interior, confirmar y dar datos",5,y con envio a Cordoba capital?,"Esa puntual la tengo que confirmar para no pasarte un dato flojo. La consulto y te aviso, y mientras seguimos con lo que si tengo a mano?",6.7,no,no
c01_explorar_y_cerrar,"Explorar mouse, elegir, calcular envio interior, confirmar y dar datos",6,"es a Nueva Cordoba, barrio centrico","Para calcular el envío al barrio Nueva Córdoba, necesito saber el código postal. ¿Podrías proporcionarme el código postal de esa zona? Con eso puedo darte un cálculo más preciso del costo del envío.",12.4,no,no
c01_explorar_y_cerrar,"Explorar mouse, elegir, calcular envio interior, confirmar y dar datos",7,"dale, me lo llevo","Lo siento, no puedo calcular el total porque no tengo el ID del producto Logitech G203 Lightsync. ¿Quieres que te muestre otros mouses que tenemos disponibles?",6.3,no,no
c01_explorar_y_cerrar,"Explorar mouse, elegir, calcular envio interior, confirmar y dar datos",8,pago por transferencia,"Lo siento, no puedo calcular el envío porque no tengo el código postal de la zona de Nueva Córdoba. ¿Podrías proporcionarme el código postal (CPA con letra, por ejemplo C1425) o la localidad y provincia para poder calcular el costo del envío?",38.5,no,no
c01_explorar_y_cerrar,"Explorar mouse, elegir, calcular envio interior, confirmar y dar datos",9,mi nombre es Martin y mi telefono es 351 5551234,"Lo siento Martin, no puedo calcular el envío porque no tengo el código postal de la zona de Nueva Córdoba. ¿Podrías proporcionarme el código postal (CPA con letra, por ejemplo C5000) o la localidad y provincia para poder calcular el costo del envío?",20.4,no,no
c02_cambio_de_opinion,"Arranca por teclado y a mitad cambia a monitor, obliga a re-buscar y recalcular sin perder el hilo",1,"buenas, tenes teclados mecanicos?","Tenemos varios teclados, pero no mecanicos. ¿Te interesa ver los que tenemos?",14.9,no,no
c02_cambio_de_opinion,"Arranca por teclado y a mitad cambia a monitor, obliga a re-buscar y recalcular sin perder el hilo",2,cuanto sale el Redragon?,"El teclado Redragon no esta disponible, pero tenemos el teclado HyperX Alloy Origins, que es un teclado mecanico compacto de aluminio con switches HyperX Red, por $165.000.",22.2,no,no
c02_cambio_de_opinion,"Arranca por teclado y a mitad cambia a monitor, obliga a re-buscar y recalcular sin perder el hilo",3,"mmm, mejor mostrame monitores","Tenemos varios monitores disponibles. Por ejemplo, el Monitor Samsung 24 F390 por $165.000, el Monitor LG 24MK430H por $225.000, el Monitor AOC 27G2 por $295.000, el Monitor Samsung Odyssey G5 32 por $485.000 y el Monitor LG UltraGear 27GP850 por $580.000. ¿Te interesa alguno de estos?",6.4,no,no
