conv_id,escenario,turno,mensaje,respuesta,tiempo_seg,fallback,error
c01_explorar_y_cerrar,"Explorar mouse, elegir, calcular envio interior, confirmar y dar datos",1,"Hola, buenas","¡Hola! ¿En qué te puedo ayudar? Tenemos teclados, mice, auriculares y más para gaming. ¿Buscás algo en particular?",18.9,no,no
c01_explorar_y_cerrar,"Explorar mouse, elegir, calcular envio interior, confirmar y dar datos",2,Estoy buscando un mouse para jugar,"Tenés un par de opciones buenas para gaming: Logitech G203 Lightsync: $38.000, con RGB, 8000 DPI y 6 botones programables. Ideal si querés empezar sin gastar mucho. Razer DeathAdder V3: $125.000, inalámbrico, sensor de 30.000 DPI, solo 59 gramos y hasta 90 horas de batería. Es el top para gaming profesional. ¿Te interesa el G203 para empezar, o querés ir directo al DeathAdder V3?",17.4,no,no
c01_explorar_y_cerrar,"Explorar mouse, elegir, calcular envio interior, confirmar y dar datos",3,cual me conviene de esos dos?,No tengo esa informaciÃ³n confirmada en el catÃ¡logo. Dejame consultar y te confirmo en breve.,11.2,si,no
c01_explorar_y_cerrar,"Explorar mouse, elegir, calcular envio interior, confirmar y dar datos",4,el mas barato cuanto sale?,No tengo esa informaciÃ³n confirmada en el catÃ¡logo. Dejame consultar y te confirmo en breve.,13.2,si,no
c01_explorar_y_cerrar,"Explorar mouse, elegir, calcular envio interior, confirmar y dar datos",5,y con envio a Cordoba capital?,No tengo esa informaciÃ³n confirmada en el catÃ¡logo. Dejame consultar y te confirmo en breve.,12.6,si,no
c01_explorar_y_cerrar,"Explorar mouse, elegir, calcular envio interior, confirmar y dar datos",6,"es a Nueva Cordoba, barrio centrico",No tengo esa informaciÃ³n confirmada en el catÃ¡logo. Dejame consultar y te confirmo en breve.,13.8,si,no
c01_explorar_y_cerrar,"Explorar mouse, elegir, calcular envio interior, confirmar y dar datos",7,"dale, me lo llevo",No tengo esa informaciÃ³n confirmada en el catÃ¡logo. Dejame consultar y te confirmo en breve.,11.5,si,no
c01_explorar_y_cerrar,"Explorar mouse, elegir, calcular envio interior, confirmar y dar datos",8,pago por transferencia,No tengo esa informaciÃ³n confirmada en el catÃ¡logo. Dejame consultar y te confirmo en breve.,13.0,si,no
c01_explorar_y_cerrar,"Explorar mouse, elegir, calcular envio interior, confirmar y dar datos",9,mi nombre es Martin y mi telefono es 351 5551234,No tengo esa informaciÃ³n confirmada en el catÃ¡logo. Dejame consultar y te confirmo en breve.,12.2,si,no
c02_cambio_de_opinion,"Arranca por teclado y a mitad cambia a monitor, obliga a re-buscar y recalcular sin perder el hilo",1,"buenas, tenes teclados mecanicos?","Sí, tengo varios teclados mecánicos. Acá te dejo las opciones más destacadas: Logitech G915 TKL: Inalámbrico, low profile, RGB y con switches táctiles. Ideal para gaming profesional, cuesta $485.000. Razer BlackWidow V4: Full size, switches verdes, RGB Chroma y apoyamuñecas magnético. $295.000. HyperX Alloy Origins: Compacto, aluminio, switches lineales rojos y RGB por tecla. $165.000. Todos tienen 24 meses de garantía y son originales. ¿Te interesa alguno en particular o querés ver otro tipo?",18.5,no,no
c02_cambio_de_opinion,"Arranca por teclado y a mitad cambia a monitor, obliga a re-buscar y recalcular sin perder el hilo",2,cuanto sale el Redragon?,"Parece que hay un error: el modelo que mencionaste no aparece en el catálogo como teclado, sino que tenemos la silla gamer Redragon Coeus. ¿Querés que busque teclados Redragon de nuevo? O si preferís, te puedo recomendar otros teclados mecánicos con buen precio y calidad, como el HyperX Alloy Origins o el Razer BlackWidow V4. ¿Cuál te interesa?",13.5,no,no
c02_cambio_de_opinion,"Arranca por teclado y a mitad cambia a monitor, obliga a re-buscar y recalcular sin perder el hilo",3,"mmm, mejor mostrame monitores","Acá tenés los monitores que tenemos en stock: AOC 27G2: 27 pulgadas, Full HD, 144Hz, IPS, ideal para gaming. $295.000. LG 24MK430H: 24 pulgadas, Full HD, 75Hz, perfecto para oficina o multimedia. $225.000. LG UltraGear 27GP850: 27 pulgadas, QHD, 165Hz, Nano IPS, para gaming competitivo. $580.000. Samsung 24 F390: 24 pulgadas, Full HD, curvo, 75Hz, muy versátil. $165.000. Samsung Odyssey G5 32: 32 pulgadas, QHD, curvo 1000R, 144Hz, inmersivo. $485.000. Todos tienen garantía oficial y son originales. ¿Te interesa alguno en particular o querés ver cuánto sale con envío a tu ciudad?",21.3,no,no
c02_cambio_de_opinion,"Arranca por teclado y a mitad cambia a monitor, obliga a re-buscar y recalcular sin perder el hilo",4,alguno bueno para jugar?,No tengo esa informaciÃ³n confirmada en el catÃ¡logo. Dejame consultar y te confirmo en breve.,11.6,si,no
c02_cambio_de_opinion,"Arranca por teclado y a mitad cambia a monitor, obliga a re-buscar y recalcular sin perder el hilo",5,el de 27 pulgadas cuanto es?,No tengo esa informaciÃ³n confirmada en el catÃ¡logo. Dejame consultar y te confirmo en breve.,15.0,si,no
c02_cambio_de_opinion,"Arranca por teclado y a mitad cambia a monitor, obliga a re-buscar y recalcular sin perder el hilo",6,"lo queres con el teclado que vimos antes, cuanto me queda todo junto?",No tengo esa informaciÃ³n confirmada en el catÃ¡logo. Dejame consultar y te confirmo en breve.,17.3,si,no
c02_cambio_de_opinion,"Arranca por teclado y a mitad cambia a monitor, obliga a re-buscar y recalcular sin perder el hilo",7,con envio a Rosario,No tengo esa informaciÃ³n confirmada en el catÃ¡logo. Dejame consultar y te confirmo en breve.,20.0,si,no
c02_cambio_de_opinion,"Arranca por teclado y a mitad cambia a monitor, obliga a re-buscar y recalcular sin perder el hilo",8,y si pago en efectivo tengo descuento?,"Opción A: Pagás por transferencia bancaria y tenés un 10% de descuento en todo el pedido.  
Opción B: Pagás con tarjeta o Mercado Pago, sin descuento, pero con hasta 6 cuotas sin interés (Visa y Mastercard) o hasta 12 cuotas con interés. ¿Cuál te conviene más?",9.7,no,no
c02_cambio_de_opinion,"Arranca por teclado y a mitad cambia a monitor, obliga a re-buscar y recalcular sin perder el hilo",9,"listo, cerralo asi","Perfecto, lo cerramos con el descuento por transferencia: 10% off en todo. ¿Confirmás el pedido con ese medio de pago? Si sí, solo necesito tu dirección para calcular el envío a Rosario —que entra en el interior, entre $5.000 y $12.000— y listo.",10.8,no,no
c02_cambio_de_opinion,"Arranca por teclado y a mitad cambia a monitor, obliga a re-buscar y recalcular sin perder el hilo",10,"te paso los datos: Juan, 341 5559876",No tengo esa informaciÃ³n confirmada en el catÃ¡logo. Dejame consultar y te confirmo en breve.,12.6,si,no
c03_servicios_inexistentes,Pide servicios que la tienda online no ofrece y mete presion; el bot no debe inventar ni cortar la venta,1,"hola, una consulta","¡Hola! ¿En qué te puedo ayudar? Estoy acá para darte info de productos, precios o envíos.",6.5,no,no
c03_servicios_inexistentes,Pide servicios que la tienda online no ofrece y mete presion; el bot no debe inventar ni cortar la venta,2,hacen envoltorio para regalo?,"No, no incluimos envoltorio de regalo. Pero te puedo ayudar con envío a domicilio, garantía oficial y formas de pago con descuento por transferencia. ¿Te interesa algo en particular?",14.2,no,no
c03_servicios_inexistentes,Pide servicios que la tienda online no ofrece y mete presion; el bot no debe inventar ni cortar la venta,3,y lo puedo pasar a retirar por el local?,"Opción A: Envío a domicilio, llega en 2 a 7 días hábiles, sin costo si superás $250.000. Opción B: Retiro por el local, pero no tenemos sede física, no es posible. ¿Te gustaría que te envíe el pedido a tu casa? Te aviso el costo exacto si me decís la ciudad.",13.1,no,no
c03_servicios_inexistentes,Pide servicios que la tienda online no ofrece y mete presion; el bot no debe inventar ni cortar la venta,4,me lo instalan o configuran?,"Opción A: Instalación o configuración por parte del equipo del vendedor — no lo ofrecemos, no tenemos servicio técnico presencial ni remoto.  
Opción B: Instrucciones de instalación por parte del cliente sin soporte técnico — todos los productos vienen con guía de uso y son plug and play, listos para usar. ¿Cuál de las dos opciones te sirve mejor?",12.0,no,no
c03_servicios_inexistentes,Pide servicios que la tienda online no ofrece y mete presion; el bot no debe inventar ni cortar la venta,5,tienen garantia extendida de 3 anios?,"Opción A: Garantía oficial del fabricante, mínimo 6 meses, que figura en la ficha de cada producto.  
Opción B: No ofrecemos garantía extendida de 3 años, no está disponible.  
¿Te interesa la garantía mínima de 6 meses que incluimos en todos los productos?",10.2,no,no
c03_servicios_inexistentes,Pide servicios que la tienda online no ofrece y mete presion; el bot no debe inventar ni cortar la venta,6,"bueno, igual me interesa unos auriculares gamer","Tenés un par de opciones sólidas en auriculares gamer: HyperX Cloud II: $125.000, con sonido virtual 7.1, mic extraíble y buena comodidad. Ideal para gaming general y sesiones largas. Logitech G Pro X: $285.000, con mic Blue VO!CE y drivers PRO-G de 50mm, pensado para esports y calidad profesional. Ambos tienen 2 años de garantía y son originales. ¿Te interesa alguno de los dos? O si querés ver otro rango de precio, te busco más opciones.",16.8,no,no
c03_servicios_inexistentes,Pide servicios que la tienda online no ofrece y mete presion; el bot no debe inventar ni cortar la venta,7,el HyperX cuanto sale?,"El HyperX Cloud II sale a $125.000. Tiene sonido virtual 7.1, mic extraíble, drivers de 53mm, y es compatible con PC, PS4, PS5, Xbox y Switch. Viene en rojo y negro, pesa 320 gramos y tiene 2 años de garantía. ¿Lo querés con envío a tu casa? Si me decís la ciudad, te confirmo el costo total.",15.5,no,no
c03_servicios_inexistentes,Pide servicios que la tienda online no ofrece y mete presion; el bot no debe inventar ni cortar la venta,8,me hacen factura A?,"Opción A: Factura A, para empresas con CUIT, permite deducir IVA. Opción B: Factura B, para consumidores finales, sin deducción de IVA. ¿Cuál necesitás? Así te armo el pedido con el comprobante correcto.",11.4,no,no
c03_servicios_inexistentes,Pide servicios que la tienda online no ofrece y mete presion; el bot no debe inventar ni cortar la venta,9,ok lo pienso y te aviso,"Perfecto, avísame cuando decidas. Si necesitás ayuda para comparar o saber el total con envío y factura, acá estoy. ¡Que tengas un buen día!",7.9,no,no
c04_regateo_precio_afuera,Cliente regatea y tira precios de otra tienda; el bot no repite ni acepta ese numero,1,"buenas, el teclado Corsair K70 cuanto sale?","No encontré el teclado Corsair K70 en el catálogo. ¿Te interesa algún otro modelo de teclado gamer? Por ejemplo, tenemos opciones de Logitech, Razer o HyperX que podrían encajar con lo que buscas.",12.1,no,no
