id,pregunta,categoria,comportamiento_esperado
C001,donde estan ubicados,faq_ubicacion,responder_con_faq
C002,desde donde despachan,faq_ubicacion,responder_con_faq
C003,tienen local fisico,faq_ubicacion,responder_con_faq
C004,tienn sucursal donde retirar,faq_ubicacion,responder_con_faq
C005,de que provincia son,faq_ubicacion,responder_con_faq
C006,puedo ir a buscar el prodcto,faq_ubicacion,responder_con_faq
C007,que horarios atienden,faq_horarios,responder_con_faq
C008,a que hora abren,faq_horarios,responder_con_faq
C009,atienden los sabados,faq_horarios,responder_con_faq
C010,trabajan los domingos,faq_horarios,responder_con_faq
C011,a que hora cierran,faq_horarios,responder_con_faq
C012,como puedo pagar,faq_formas_pago,responder_con_faq
C013,aceptan tarjeta de credito,faq_formas_pago,responder_con_faq
C014,se puede pagar por transferencia,faq_formas_pago,responder_con_faq
C015,aceptan mercado pago,faq_formas_pago,responder_con_faq
C016,toman amex,faq_formas_pago,responder_con_faq
C017,aceptan efectivo,faq_formas_pago,responder_con_faq
C018,tenes cuotas,faq_cuotas,responder_con_faq
C019,cuantas cuotas sin interes,faq_cuotas,responder_con_faq
C020,hasta cuantas cuotas llegan,faq_cuotas,responder_con_faq
C021,con que tarjetas hay cuotas,faq_cuotas,responder_con_faq
C022,acen envios,faq_envios,responder_con_faq
C023,envian a todo el pais,faq_envios,responder_con_faq
C024,con que correo despachan,faq_envios,responder_con_faq
C025,trabajan con andreani,faq_envios,responder_con_faq
C026,cuanto sale el envio a caba,faq_costo_envio,responder_con_faq
C027,cuanto cuesta el envio,faq_costo_envio,responder_con_faq
C028,a partir de cuanto es envio gratis,faq_costo_envio,responder_con_faq
C029,el envio tiene costo,faq_costo_envio,responder_con_faq
C030,kuanto demora el envio a caba,faq_plazo_envio,responder_con_faq
C031,en cuanto tiempo me llega,faq_plazo_envio,responder_con_faq
C032,plazo de entrega al interior,faq_plazo_envio,responder_con_faq
C033,que garantia tienen los productos,faq_garantia,responder_con_faq
C034,cuanto tiempo de garantia,faq_garantia,responder_con_faq
C035,la garantia es del fabricante,faq_garantia,responder_con_faq
C036,puedo devolver un producto,faq_devoluciones,responder_con_faq
C037,cuanto tiempo tengo para devolver,faq_devoluciones,responder_con_faq
C038,como hago una devolucion,faq_devoluciones,responder_con_faq
C039,hacen factura,faq_factura,responder_con_faq
C040,emiten factura a,faq_factura,responder_con_faq
C041,los precios tienen iva,faq_precios_iva,responder_con_faq
C042,tienen descuento por transferencia,faq_descuento_transferencia,responder_con_faq
C043,hay descuento si pago en efectivo,faq_descuento_transferencia,responder_con_faq
C044,tienen instagram,faq_redes,responder_con_faq
C045,cual es la web,faq_redes,responder_con_faq
C046,puedo hablar con alguien del local,faq_contacto_humano,responder_con_faq
C047,necesito hablar con un encargado,faq_contacto_humano,responder_con_faq
C048,me asesoran antes de comprar,faq_asesoramiento,responder_con_faq
C049,me ayudan a elegir,faq_asesoramiento,responder_con_faq
C050,acen reservas sin stock,faq_reservas,responder_con_faq
C051,puedo encargar un producto,faq_reservas,responder_con_faq
C052,los prodctos son originales,faq_marcas_originales,responder_con_faq
C053,son nuevos o usados,faq_usados,responder_con_faq
C054,venden reacondicionados,faq_usados,responder_con_faq
C055,si me llega defectuoso que hago,faq_defectuoso,responder_con_faq
C056,acen envios urgentes,faq_envio_urgente,responder_con_faq
C057,puedo recibir el mismo dia,faq_envio_urgente,responder_con_faq
C058,precio mayorista,faq_mayoristas,responder_con_faq
C059,para revendedores tienen precio,faq_mayoristas,responder_con_faq
C060,como los contacto,faq_formas_contacto,responder_con_faq
C061,tienen telefono,faq_formas_contacto,responder_con_faq
M001,cuanto sale el envio del Logitech G203 a Mendoza,mixto_faq_catalogo,responder_combinando
M002,me hacen cuotas si llevo el razer deathadder v3,mixto_faq_catalogo,responder_combinando
M003,cuanto tarda en llegarme el MX Master 3S a Rosario,mixto_faq_catalogo,responder_combinando
M004,el cargador anker tiene garantia,mixto_faq_catalogo,responder_combinando
M005,si compro el monitor Samsung Odyssey llega a Cordoba,mixto_faq_catalogo,responder_combinando
M006,la silla cougar armor s incluye envio,mixto_faq_catalogo,responder_combinando
M007,puedo pagar el Sony WH-1000XM5 en cuotas sin interes,mixto_faq_catalogo,responder_combinando
M008,el hyperx cloud ii tiene factura a,mixto_faq_catalogo,responder_combinando
M009,el envio del teclado G915 cuanto demora,mixto_faq_catalogo,responder_combinando
M010,tienen el fifine k669b con descuento por transferencia,mixto_faq_catalogo,responder_combinando
M011,el cable HDMI lo puedo retirar en local,mixto_faq_catalogo,responder_combinando
M012,cuotas para la silla redragon coeus,mixto_faq_catalogo,responder_combinando
M013,el monitor AOC sale envio gratis,mixto_faq_catalogo,responder_combinando
M014,la garantia del ssd samsumg 980 es oficial,mixto_faq_catalogo,responder_combinando
M015,puedo encargar el Logitech G Pro X si no hay stock,mixto_faq_catalogo,responder_combinando
M016,como pago el cooler deepcool ak620,mixto_faq_catalogo,responder_combinando
M017,el envio de la lampara Xiaomi a La Plata,mixto_faq_catalogo,responder_combinando
M018,factura a para el teclado razer blackwidow,mixto_faq_catalogo,responder_combinando
M019,es original el Mouse Razer DeathAdder,mixto_faq_catalogo,responder_combinando
M020,tienn el monitor lg ultragear a 24 cuotas,mixto_faq_catalogo,responder_combinando
M021,el envio del kit limpieza GoldenTech sale algo,mixto_faq_catalogo,responder_combinando
M022,la webcam c920 con cuotas visa,mixto_faq_catalogo,responder_combinando
M023,puedo devolver el mouse Genius DX-110 si no me gusta,mixto_faq_catalogo,responder_combinando
M024,el blue yeti llega manana a tucuman,mixto_faq_catalogo,responder_combinando
M025,la memoria Corsair Vengeance tiene garantia oficial,mixto_faq_catalogo,responder_combinando
M026,el adaptador wifi tp-link es nuevo o usado,mixto_faq_catalogo,responder_combinando
M027,puedo pagar el Hub Anker en 3 cuotas,mixto_faq_catalogo,responder_combinando
M028,la bateria xiaomi viene con factura,mixto_faq_catalogo,responder_combinando
M029,la silla ProSeat la hacen llegar a Salta,mixto_faq_catalogo,responder_combinando
M030,el cooler watercooling cooler master tiene envio express,mixto_faq_catalogo,responder_combinando
M031,el gamepad Xbox Wireless tiene garantia oficial,mixto_faq_catalogo,responder_combinando
M032,el ssd kingston a2000 tiene 12 cuotas,mixto_faq_catalogo,responder_combinando
M033,puedo retirar el Soporte VESA en buenos aires,mixto_faq_catalogo,responder_combinando
M034,el organizador de cables tiene factura a,mixto_faq_catalogo,responder_combinando
M035,el cargador Anker 65W llega a Neuquen,mixto_faq_catalogo,responder_combinando
M036,puedo pagar el razer goliathus en efectivo,mixto_faq_catalogo,responder_combinando
M037,el Joystick Logitech F310 viene con manual,mixto_faq_catalogo,responder_combinando
