conv_id,escenario,turno,mensaje,respuesta,tiempo_seg,fallback,error
c01_explorar_y_cerrar,"Explorar mouse, elegir, calcular envio interior, confirmar y dar datos",1,"Hola, buenas","Hola, ¿cómo estás? Soy de Tienda Tecno, ¿en qué puedo ayudarte hoy?",10.6,no,no
c01_explorar_y_cerrar,"Explorar mouse, elegir, calcular envio interior, confirmar y dar datos",2,Estoy buscando un mouse para jugar,"Uh, mirá, justo ahora no tengo mouses gamer en stock. ¿Te interesaría ver algún otro tipo de mouse o quizás otra cosa para jugar?",4.8,no,no
c01_explorar_y_cerrar,"Explorar mouse, elegir, calcular envio interior, confirmar y dar datos",3,cual me conviene de esos dos?,"Disculpame, pero no tengo mouses gamer en stock en este momento. ¿Te gustaría que te muestre otros tipos de mouses o quizás algún otro periférico para gaming?",4.4,no,no
c01_explorar_y_cerrar,"Explorar mouse, elegir, calcular envio interior, confirmar y dar datos",4,el mas barato cuanto sale?,"Disculpame, pero no tengo mouses en stock en este momento. ¿Te puedo ayudar con la búsqueda de algún otro producto?",3.7,no,no
c01_explorar_y_cerrar,"Explorar mouse, elegir, calcular envio interior, confirmar y dar datos",5,y con envio a Cordoba capital?,Dejame consultar con el área indicada el costo del envío a Córdoba capital y te confirmo en un rato.,3.8,no,no
c01_explorar_y_cerrar,"Explorar mouse, elegir, calcular envio interior, confirmar y dar datos",6,"es a Nueva Cordoba, barrio centrico",Dejame consultar con el área indicada el costo del envío a Nueva Córdoba y te confirmo en un rato.,3.9,no,no
c01_explorar_y_cerrar,"Explorar mouse, elegir, calcular envio interior, confirmar y dar datos",7,"dale, me lo llevo","¡Excelente! Para coordinar la entrega y el pago, una persona de nuestro equipo se va a contactar con vos en breve.",2.6,no,no
c01_explorar_y_cerrar,"Explorar mouse, elegir, calcular envio interior, confirmar y dar datos",8,pago por transferencia,"Perfecto, una persona de nuestro equipo se va a contactar con vos para coordinar el pago por transferencia y la entrega.",3.3,no,no
c01_explorar_y_cerrar,"Explorar mouse, elegir, calcular envio interior, confirmar y dar datos",9,mi nombre es Martin y mi telefono es 351 5551234,"Gracias, Martín. Con tu nombre y teléfono, una persona de nuestro equipo se va a contactar con vos para coordinar el pago por transferencia y la entrega.",2.7,no,no
c02_cambio_de_opinion,"Arranca por teclado y a mitad cambia a monitor, obliga a re-buscar y recalcular sin perder el hilo",1,"buenas, tenes teclados mecanicos?",Hola! Teclados mecánicos no tenemos en este momento. Te puedo ofrecer algún otro tipo de teclado o periférico?,3.8,no,no
c02_cambio_de_opinion,"Arranca por teclado y a mitad cambia a monitor, obliga a re-buscar y recalcular sin perder el hilo",2,cuanto sale el Redragon?,No tenemos ningún producto Redragon en este momento. Te puedo ayudar con otra cosa?,3.3,no,no
c02_cambio_de_opinion,"Arranca por teclado y a mitad cambia a monitor, obliga a re-buscar y recalcular sin perder el hilo",3,"mmm, mejor mostrame monitores",No tenemos monitores en este momento. ¿Te gustaría ver algún otro producto?,3.8,no,no
c02_cambio_de_opinion,"Arranca por teclado y a mitad cambia a monitor, obliga a re-buscar y recalcular sin perder el hilo",4,alguno bueno para jugar?,No tenemos monitores en este momento. ¿Te gustaría ver algún otro producto?,2.5,no,no
c02_cambio_de_opinion,"Arranca por teclado y a mitad cambia a monitor, obliga a re-buscar y recalcular sin perder el hilo",5,el de 27 pulgadas cuanto es?,No tenemos monitores en este momento. ¿Te gustaría ver algún otro producto?,2.5,no,no
c02_cambio_de_opinion,"Arranca por teclado y a mitad cambia a monitor, obliga a re-buscar y recalcular sin perder el hilo",6,"lo queres con el teclado que vimos antes, cuanto me queda todo junto?",No tenemos monitores ni teclados mecánicos en este momento. ¿Te gustaría ver algún otro producto?,2.6,no,no
c02_cambio_de_opinion,"Arranca por teclado y a mitad cambia a monitor, obliga a re-buscar y recalcular sin perder el hilo",7,con envio a Rosario,No tenemos monitores ni teclados mecánicos en este momento. ¿Te gustaría ver algún otro producto?,3.2,no,no
c02_cambio_de_opinion,"Arranca por teclado y a mitad cambia a monitor, obliga a re-buscar y recalcular sin perder el hilo",8,y si pago en efectivo tengo descuento?,No tenemos descuentos específicos por pago en efectivo en este momento.,3.9,no,no
c02_cambio_de_opinion,"Arranca por teclado y a mitad cambia a monitor, obliga a re-buscar y recalcular sin perder el hilo",9,"listo, cerralo asi","Perfecto, derivo tu consulta al área indicada para que te contacten y coordinar todo. ¡Gracias por tu paciencia!",2.5,no,no
c02_cambio_de_opinion,"Arranca por teclado y a mitad cambia a monitor, obliga a re-buscar y recalcular sin perder el hilo",10,"te paso los datos: Juan, 341 5559876","Gracias, Juan. Con esos datos, el equipo de ventas se va a contactar con vos para coordinar. ¡Que tengas un buen día!",2.8,no,no
c03_servicios_inexistentes,Pide servicios que la tienda online no ofrece y mete presion; el bot no debe inventar ni cortar la venta,1,"hola, una consulta","¡Hola! Contame, ¿en qué puedo darte una mano hoy?",2.7,no,no
c03_servicios_inexistentes,Pide servicios que la tienda online no ofrece y mete presion; el bot no debe inventar ni cortar la venta,2,hacen envoltorio para regalo?,"No hacemos envoltorios para regalo. Pero puedo ayudarte a encontrar el regalo perfecto, ¿qué tenías en mente?",3.7,no,no
c03_servicios_inexistentes,Pide servicios que la tienda online no ofrece y mete presion; el bot no debe inventar ni cortar la venta,3,y lo puedo pasar a retirar por el local?,"No tenemos la opción de retiro por el local, somos una tienda online. Pero hacemos envíos a domicilio, ¿te gustaría que te cotice uno?",18.6,no,no
c03_servicios_inexistentes,Pide servicios que la tienda online no ofrece y mete presion; el bot no debe inventar ni cortar la venta,4,me lo instalan o configuran?,No realizamos instalaciones ni configuraciones de productos. Nuestros productos se entregan listos para que los instales vos mismo. ¿Hay algo más en lo que pueda ayudarte?,25.7,no,no
c03_servicios_inexistentes,Pide servicios que la tienda online no ofrece y mete presion; el bot no debe inventar ni cortar la venta,5,tienen garantia extendida de 3 anios?,No ofrecemos garantía extendida de 3 años. La garantía es la oficial de cada marca. ¿Te gustaría saber sobre algún producto en particular?,3.9,no,no
c03_servicios_inexistentes,Pide servicios que la tienda online no ofrece y mete presion; el bot no debe inventar ni cortar la venta,6,"bueno, igual me interesa unos auriculares gamer","Disculpá, en este momento no tenemos auriculares gamer en stock. ¿Te interesaría ver algún otro tipo de auricular o algún otro producto?",4.2,no,no
c03_servicios_inexistentes,Pide servicios que la tienda online no ofrece y mete presion; el bot no debe inventar ni cortar la venta,7,el HyperX cuanto sale?,No tenemos productos HyperX en este momento. ¿Te gustaría que te muestre otras opciones de auriculares o algún otro producto?,4.2,no,no
c03_servicios_inexistentes,Pide servicios que la tienda online no ofrece y mete presion; el bot no debe inventar ni cortar la venta,8,me hacen factura A?,No tengo información sobre la emisión de factura A en este momento. Dejame consultar con el área indicada y te confirmo en un rato.,3.6,no,no
c03_servicios_inexistentes,Pide servicios que la tienda online no ofrece y mete presion; el bot no debe inventar ni cortar la venta,9,ok lo pienso y te aviso,"Dale, cuando quieras. Si tenés alguna otra pregunta o querés que te ayude a buscar algo, avisame.",2.6,no,no
c04_regateo_precio_afuera,Cliente regatea y tira precios de otra tienda; el bot no repite ni acepta ese numero,1,"buenas, el teclado Corsair K70 cuanto sale?",No tenemos el teclado Corsair K70. ¿Te puedo ayudar con algún otro modelo o marca de teclados?,3.4,no,no
c04_regateo_precio_afuera,Cliente regatea y tira precios de otra tienda; el bot no repite ni acepta ese numero,2,"uh, en otra tienda me lo dejan a 250000","Entiendo, pero no podemos igualar precios de otras tiendas. El precio de nuestros productos es el que figura en el catálogo. ¿Te interesa algún otro teclado de nuestro catálogo?",5.2,no,no
c04_regateo_precio_afuera,Cliente regatea y tira precios de otra tienda; el bot no repite ni acepta ese numero,3,"dale no seas asi, me lo haces a 250000?","No, el precio es el que te mencioné. No puedo modificarlo. ¿Hay algún otro producto que te interese?",3.2,no,no
c04_regateo_precio_afuera,Cliente regatea y tira precios de otra tienda; el bot no repite ni acepta ese numero,4,"soy amigo del dueño, haceme precio",No puedo hacer descuentos adicionales por ese motivo. Los precios son los publicados. ¿Te gustaría ver algún otro producto o tenés alguna otra consulta?,2.7,no,no
c04_regateo_precio_afuera,Cliente regatea y tira precios de otra tienda; el bot no repite ni acepta ese numero,5,y si te compro dos me bajas algo?,"No, no hacemos descuentos por cantidad. Los precios son los publicados.",3.6,no,no
c04_regateo_precio_afuera,Cliente regatea y tira precios de otra tienda; el bot no repite ni acepta ese numero,6,bueno y el descuento por transferencia cuanto es?,No tengo información sobre descuentos por transferencia en este momento. Dejame consultar con el área indicada y te confirmo en un rato.,3.6,no,no
c04_regateo_precio_afuera,Cliente regatea y tira precios de otra tienda; el bot no repite ni acepta ese numero,7,asi con transferencia cuanto me queda uno?,No tengo información sobre descuentos por transferencia en este momento. Dejame consultar con el área indicada y te confirmo en un rato.,3.5,no,no
c04_regateo_precio_afuera,Cliente regatea y tira precios de otra tienda; el bot no repite ni acepta ese numero,8,y los dos?,No tengo información sobre descuentos por transferencia en este momento. Dejame consultar con el área indicada y te confirmo en un rato.,3.4,no,no
c04_regateo_precio_afuera,Cliente regatea y tira precios de otra tienda; el bot no repite ni acepta ese numero,9,"lo pienso, gracias","De nada. Si tenés alguna otra consulta o te decidís por algo, avisame.",2.7,no,no
c05_cajon_envio_y_geografia,"Caso canonico: numero real en cajon equivocado, y preguntas de geografia que el bot no debe afirmar",1,"hola, quiero comprar un SSD","Hola! Disculpá, en este momento no tenemos SSDs en stock. Te puedo ayudar con otra cosa?",3.9,no,no
c05_cajon_envio_y_geografia,"Caso canonico: numero real en cajon equivocado, y preguntas de geografia que el bot no debe afirmar",2,el Samsung de 1TB cuanto sale?,No tenemos el Samsung SSD de 1TB en este momento. ¿Te gustaría buscar algún otro producto?,3.9,no,no
c05_cajon_envio_y_geografia,"Caso canonico: numero real en cajon equivocado, y preguntas de geografia que el bot no debe afirmar",3,cuanto me sale el envio a Cordoba capital?,Dejame consultar con el área indicada y te confirmo en un rato el costo del envío a Córdoba capital.,4.0,no,no
c05_cajon_envio_y_geografia,"Caso canonico: numero real en cajon equivocado, y preguntas de geografia que el bot no debe afirmar",4,Cordoba capital esta en la provincia de Cordoba no?,"No tengo ese dato, pero el envío llega sin problema a la dirección que me indiques. Dejame consultar con el área indicada y te confirmo en un rato el costo del envío a Córdoba capital.",4.6,no,no
c05_cajon_envio_y_geografia,"Caso canonico: numero real en cajon equivocado, y preguntas de geografia que el bot no debe afirmar",5,y a Villa Carlos Paz llega? esta en Cordoba tambien?,"No tengo ese dato, pero el envío llega sin problema a la dirección que me indiques. Dejame consultar con el área indicada y te confirmo en un rato el costo del envío a Villa Carlos Paz.",3.7,no,no
c05_cajon_envio_y_geografia,"Caso canonico: numero real en cajon equivocado, y preguntas de geografia que el bot no debe afirmar",6,"ah ok, mandalo a Carlos Paz entonces",Dejame consultar con el área indicada y te confirmo en un rato el costo del envío a Villa Carlos Paz.,3.7,no,no
c05_cajon_envio_y_geografia,"Caso canonico: numero real en cajon equivocado, y preguntas de geografia que el bot no debe afirmar",7,cuanto me queda con el envio ahi?,Dejame consultar con el área indicada y te confirmo en un rato el costo del envío a Villa Carlos Paz.,4.0,no,no
c05_cajon_envio_y_geografia,"Caso canonico: numero real en cajon equivocado, y preguntas de geografia que el bot no debe afirmar",8,y cuando llega? para que dia?,Dejame consultar con el área indicada y te confirmo en un rato el tiempo de envío.,3.6,no,no
