id,nombre,categoria,precio_ars,stock,descripcion,marca,modelo,color,material,peso_gramos,dimensiones,garantia_meses,uso_recomendado,caracteristicas_extra
MOU001,Mouse Logitech G203 Lightsync,mouse,38000,12,Mouse gamer con iluminacion RGB Lightsync y sensor optico de 8000 DPI,Logitech,G203 Lightsync,Negro,Plastico ABS,85,11.6x6.2x3.8 cm,24,Gaming entry,Conexion USB con cable trenzado 6 botones programables RGB personalizable via software G HUB
MOU002,Mouse Razer DeathAdder V3,mouse,125000,8,Mouse gamer inalambrico con sensor Focus Pro de 30000 DPI ultra liviano,Razer,DeathAdder V3,Negro,Plastico ABS,59,12.8x6.8x4.4 cm,24,Gaming profesional,Inalambrico 2.4GHz HyperSpeed bateria hasta 90 horas sensor optico 8 botones programables via Razer Synapse
MOU003,Mouse Logitech MX Master 3S,mouse,210000,5,Mouse de productividad inalambrico ergonomico para profesionales,Logitech,MX Master 3S,Grafito,Plastico ABS y goma,141,12.4x8.4x5.1 cm,12,Productividad profesional,Inalambrico Bluetooth y receptor USB recargable USB-C scroll MagSpeed 7 botones funciona en multiples dispositivos
MOU004,Mouse Genius DX-110,mouse,8500,25,Mouse basico optico con cable USB para oficina,Genius,DX-110,Negro,Plastico,90,11.5x6.0x3.7 cm,6,Oficina basica,Conexion USB con cable 1000 DPI 3 botones plug and play sin necesidad de drivers
MOU005,Mouse Logitech M170,mouse,12000,30,Mouse inalambrico compacto para uso diario,Logitech,M170,Gris,Plastico,75,9.9x5.9x3.8 cm,12,Oficina y hogar,Inalambrico 2.4GHz receptor USB nano bateria AA con autonomia de 12 meses 1000 DPI
TEC001,Teclado Logitech G915 TKL,teclado,485000,4,Teclado mecanico inalambrico tenkeyless low profile RGB,Logitech,G915 TKL,Negro carbon,Aluminio aeronautico,810,36.8x15x2.2 cm,24,Gaming profesional,Inalambrico Lightspeed y Bluetooth switches GL Tactile low profile RGB Lightsync USB-C recargable
TEC002,Teclado Razer BlackWidow V4,teclado,295000,5,Teclado mecanico full size con switches verdes y RGB Chroma,Razer,BlackWidow V4,Negro,Aluminio y plastico,1500,46.5x23x4.2 cm,24,Gaming,Conexion USB con cable full size switches Razer Green tactiles RGB Chroma multimedia dedicada apoyamuñecas magnetico
TEC003,Teclado HyperX Alloy Origins,teclado,165000,7,Teclado mecanico compacto de aluminio con switches HyperX Red,HyperX,Alloy Origins,Negro,Aluminio aeronautico,1075,44.2x12.9x3.5 cm,24,Gaming,Conexion USB-C desmontable switches HyperX Red lineales RGB por tecla 3 niveles de inclinacion
TEC004,Teclado Genius KB-110X,teclado,12000,40,Teclado basico de membrana para oficina con layout español,Genius,KB-110X,Negro,Plastico,520,44.5x14.5x2.5 cm,6,Oficina basica,Conexion USB con cable layout español latinoamericano 104 teclas resistente a salpicaduras
TEC005,Teclado Logitech K380,teclado,55000,15,Teclado inalambrico Bluetooth compacto multi dispositivo,Logitech,K380,Rosa,Plastico,423,27.9x12.4x1.6 cm,12,Hogar y tablet,Bluetooth conecta hasta 3 dispositivos bateria AAA hasta 24 meses compatible Windows Mac iOS Android
MON001,Monitor LG 24MK430H,monitor,225000,6,Monitor IPS Full HD de 24 pulgadas para oficina,LG,24MK430H,Negro,Plastico y metal,3200,54x32x18 cm,36,Oficina y multimedia,IPS Full HD 1920x1080 75Hz HDMI y VGA Free Sync inclinacion ajustable tiempo de respuesta 5ms
MON002,Monitor LG UltraGear 27GP850,monitor,580000,4,Monitor gamer Nano IPS QHD 165Hz de 27 pulgadas,LG,UltraGear 27GP850,Negro y rojo,Plastico y metal,5800,61.4x44.5x29.2 cm,36,Gaming competitivo,Nano IPS QHD 2560x1440 165Hz nativo overclock 180Hz 1ms G-Sync compatible HDR10 DisplayPort y HDMI ajuste altura pivot
MON003,Monitor Samsung Odyssey G5 32,monitor,485000,3,Monitor curvo gamer QHD de 32 pulgadas 144Hz,Samsung,Odyssey G5 32,Negro,Plastico,7100,71x55x29 cm,24,Gaming inmersivo,Panel VA curvo 1000R QHD 2560x1440 144Hz 1ms HDR10 Free Sync Premium HDMI y DisplayPort
MON004,Monitor AOC 27G2,monitor,295000,8,Monitor gamer IPS Full HD 144Hz de 27 pulgadas,AOC,27G2,Negro y rojo,Plastico,4500,61x47x21 cm,36,Gaming,IPS Full HD 1920x1080 144Hz 1ms Free Sync Premium HDMI DisplayPort VGA ajuste de altura
MON005,Monitor Samsung 24 F390,monitor,165000,10,Monitor curvo Full HD de 24 pulgadas para uso general,Samsung,LF24T350,Negro,Plastico,3500,54x40x21 cm,24,Hogar y oficina,IPS Full HD 1920x1080 75Hz HDMI VGA Free Sync diseño sin bordos modo eye saver
