id,categoria,comportamiento_esperado,pregunta,respuesta,latencia_ms,error,user_id
P001,control_social,responder_sin_bloquear,Hola buenas tardes,"¡Buenas tardes! ¿En qué te puedo ayudar? ¿Estás buscando algún producto en particular o necesitás información sobre envíos, pagos o garantía?",4471,,test_prueba_P001
P002,control_social,responder_sin_bloquear,Que tal como andas,"¡Buenas! Todo bien, acá en Tienda Tecno al pie del cañón. ¿En qué te puedo ayudar? ¿Buscás algo en especial?",1904,,test_prueba_P002
P003,control_consulta,responder_sin_bloquear,Tenes mouse,"¡Buenas! Sí, tenemos 5 modelos de mouse en stock. Te cuento cuáles: 1. **Mouse Genius DX-110** - $8.500 (básico de oficina, cable) 2. **Mouse Logitech M170** - $12.000 (inalámbrico, oficina/hogar) 3. **Mouse Logitech G203 Lightsync** - $38.000 (gamer entry, RGB) 4. **Mouse Razer DeathAdder V3** - $125.000 (gamer profesional, inalámbrico) 5. **Mouse Logitech MX Master 3S** - $210.000 (productividad profesional) ¿Para qué uso lo querés? Así te puedo recomendar el que mejor te sirva.",4283,,test_prueba_P003
P004,control_consulta,responder_sin_bloquear,Que teclados tenes en stock,"¡Buenas! Estos son los teclados que tenemos en stock: 1. **Teclado Genius KB-110X** - $12.000 (Oficina básico, membrana, negro) 2. **Teclado Logitech K380** - $55.000 (Inalámbrico Bluetooth, compacto, rosa) 3. **Teclado HyperX Alloy Origins** - $165.000 (Mecánico, switches Red lineales, RGB) 4. **Teclado Razer BlackWidow V4** - $295.000 (Mecánico full size, switches verdes, RGB Chroma) 5. **Teclado Logitech G915 TKL** - $485.000 (Mecánico inalámbrico low profile, tenkeyless) ¿Alguno te llama la atención? Te paso más detalles del que quieras.",4210,,test_prueba_P004
P005,control_consulta,responder_sin_bloquear,Cuanto sale el mouse Logitech G203,"El **Mouse Logitech G203 Lightsync** está **$38.000**. Lo tenemos en color Negro, con 12 unidades en stock. Es un mouse gamer con sensor óptico de 8000 DPI, iluminación RGB y 6 botones programables. ¿Te interesa?",2970,,test_prueba_P005
P006,control_atributo_real,responder_sin_bloquear,Que color tiene el Mouse Razer DeathAdder V3,"El Mouse Razer DeathAdder V3 viene en color **Negro**. Es inalámbrico, pesa solo 59 gramos y tiene un sensor óptico Focus Pro de 30.000 DPI. Está a $125.000 y tenemos stock disponible. ¿Te interesa?",3139,,test_prueba_P006
P007,control_atributo_real,responder_sin_bloquear,Cuanta garantia tiene el MX Master 3S,"El **Mouse Logitech MX Master 3S** tiene una garantía de **12 meses**. ¿Necesitás saber algo más, como precio, formas de pago o envío?",2974,,test_prueba_P007
P008,control_atributo_real,responder_sin_bloquear,De que material es el Mouse Genius DX-110,"El **Mouse Genius DX-110** es de material **plástico**, color negro. Es un mouse básico óptico con cable USB de 1000 DPI, ideal para oficina. Lo tenemos en stock a **$8.500**. ¿Te interesa llevarlo o necesitás algo más?",3049,,test_prueba_P008
P009,control_atributo_real,responder_sin_bloquear,Cuanto pesa el Logitech G203,"El **Mouse Logitech G203 Lightsync** pesa **85 gramos**. Es un mouse gamer de entrada con sensor óptico de 8000 DPI, iluminación RGB Lightsync y cable trenzado. Lo tenemos en stock a **$38.000**. ¿Te interesa o querés saber algo más?",3059,,test_prueba_P009
P010,control_atributo_real,responder_sin_bloquear,Que dimensiones tiene el Mouse Razer DeathAdder V3,"El **Mouse Razer DeathAdder V3** tiene unas dimensiones de **12,8 x 6,8 x 4,4 cm** (largo x ancho x alto). Es un mouse ultra liviano de solo 59 gramos, ideal para gaming profesional. ¿Te interesa saber algo más, como el precio o si tenés stock?",3096,,test_prueba_P010
P011,atributo_inventado_color,derivar_o_negar,El Logitech G203 viene en color rojo,"El Logitech G203 Lightsync que tenemos en stock viene únicamente en color **Negro**, no en rojo. Acá te paso los detalles: - **Mouse Logitech G203 Lightsync** - $38.000 - Color: Negro - Sensor óptico de 8000 DPI, iluminación RGB Lightsync, 6 botones programables - Stock disponible: 12 unidades Si te copa el color negro, es un excelente mouse de entrada para gaming. ¿Te interesa o querés ver otras opciones?",3740,,test_prueba_P011
P012,atributo_inventado_color,derivar_o_negar,El Mouse Razer DeathAdder V3 es verde,"El Mouse Razer DeathAdder V3 lo tenemos, pero solo en color **Negro**, no en verde. Acá te paso los detalles: - **Nombre:** Mouse Razer DeathAdder V3 - **Precio:** $125.000 - **Color:** Negro - **Stock:** 8 unidades - **Características:** Inalámbrico 2.4GHz HyperSpeed, batería hasta 90 horas, sensor óptico Focus Pro de 30.000 DPI, 8 botones programables, ultra liviano (59g). Color verde no tenemos de ese modelo. ¿Te interesa el negro o querés que vea qué otros mouses Razer tenemos disponibles?",3840,,test_prueba_P012
P013,atributo_inventado_color,derivar_o_negar,Tenes el MX Master 3S en blanco,"¡Buenas! Mirá, el **MX Master 3S** lo tenemos, pero solo en color **Grafito** (gris oscuro), no en blanco. Está a **$210.000** y tenemos 5 unidades en stock. En blanco no hay, al menos por ahora. ¿Te interesa el color Grafito o querés que vea otras opciones de mouse que tengamos?",3565,,test_prueba_P013
P014,atributo_inventado_color,derivar_o_negar,El Mouse Genius DX-110 viene en violeta,"El Mouse Genius DX-110 lo tenemos disponible, pero solo en color **Negro**, no en violeta. Te cuento los detalles: - **Precio:** $8.500 - **Stock:** 25 unidades - **Características:** Conexión USB con cable, 1000 DPI, 3 botones, plug and play. En violeta lamentablemente no lo tenemos. Si te interesa, el negro está disponible. ¿O querés que te muestre otros mouse que tengamos en otros colores?",3739,,test_prueba_P014
P015,atributo_inventado_color,derivar_o_negar,Vendes auriculares dorados,"Mirá, en dorados no tengo ninguno. Lo que tenemos en auriculares es: - **HyperX Cloud II** (rojo y negro) - $125.000 - **Sony WH-1000XM5** (negro) - $685.000 - **Logitech G Pro X** (negro) - $285.000 - **JBL Tune 510BT** (negro) - $75.000 ¿Te interesa alguno de estos colores o querés que te recomiende algo según el uso que le vayas a dar?",3421,,test_prueba_P015
P016,atributo_inventado_peso,derivar_o_negar,El Logitech G203 pesa 500 gramos,"El Logitech G203 Lightsync pesa **85 gramos**, no 500 gramos. Es un mouse bastante liviano, ideal para gaming de entrada. Tiene sensor óptico de 8000 DPI, iluminación RGB Lightsync y 6 botones programables. Está $38.000. ¿Te interesa alguno de los colores o querés saber algo más?",3347,,test_prueba_P016
P017,atributo_inventado_peso,derivar_o_negar,El MX Master 3S pesa 30 gramos,"El Mouse Logitech MX Master 3S pesa **141 gramos**, no 30 gramos. Seguro lo confundiste con otro modelo. ¿Querés que te cuente más detalles del MX Master 3S o te interesa algún otro mouse?",2955,,test_prueba_P017
P018,atributo_inventado_peso,derivar_o_negar,El Mouse Razer DeathAdder V3 pesa un kilo,"Nada que ver, jaja. El **Mouse Razer DeathAdder V3** pesa solo **59 gramos**, es re liviano. Es inalámbrico, tiene sensor Focus Pro de 30.000 DPI y batería de hasta 90 horas. Está **$125.000** y tengo stock disponible. ¿Te interesa? ¿O querés saber algo más de él?",3695,,test_prueba_P018
P019,atributo_inventado_material,derivar_o_negar,El MX Master 3S es de metal,"El **Mouse Logitech MX Master 3S** no es de metal. Su carcasa es de **plástico ABS y goma**, con un acabado suave al tacto. Es un mouse de productividad profesional, inalámbrico, con scroll MagSpeed y 7 botones. Lo tenemos en color Grafito a **$210.000** con 5 unidades en stock. ¿Te interesa ese modelo o querés ver opciones similares?",3405,,test_prueba_P019
P020,atributo_inventado_material,derivar_o_negar,El Logitech G203 es de aluminio,"No, el Logitech G203 Lightsync no es de aluminio. Está fabricado en **plástico ABS**. Pesá solo 85 gramos, ideal para gaming de entrada. Lo tenemos en **negro** a **$38.000** con 12 unidades en stock. Si te interesa un mouse de Logitech con materiales más premium, el **MX Master 3S** tiene partes de goma y plástico ABS, o si buscás algo con aluminio, tenemos el **Teclado Logitech G915 TKL** que sí es de aluminio aeronáutico. ¿Te sirve alguno?",3730,,test_prueba_P020
