atacante,conv,turno,mensaje,respuesta,fallas,modulos,tools
ambiguedad,1,1,"Hola, ¿cómo va? ¿Tienen algo similar al que mostré recién?","Hola, no tenemos algo similar al que mostraste recién. Pero podemos ofrecerte una variedad de categorías como almacenamiento externo, auriculares, cargador, cooler, fuente, gabinete, impresora, memoria ram, microfono, monitor, motherboard, mouse, notebook, parlante, placa de video, procesador, router, silla gamer, ssd, tablet, teclado, webcam. ¿Te interesa ver algo de estas categorías?",,,"search_products({""query"": ""Hola, ¿cómo va? ¿Tienen algo similar al que mostré recién?""})=0 | search_products({""query"": ""similar al que mostré recién""})=0"
ortografia,2,1,"hola, cuatno sale el teclado mecanico mas barato q tenes?","El teclado mecanico mas barato que tenemos es el Teclado Logitech K380 Negro, que cuesta $55.000. Estamos hablando de un teclado nuevo y original, con garantia oficial del fabricante, ideal para gaming. Si te interesa, te puedo dar mas detalles sobre este producto o sobre otros teclados que tenemos disponibles.",,,"search_products({""query"": ""hola, cuatno sale el teclado mecanico mas barato q tenes?""})=10 | search_products({""query"": ""teclado mecanico""})=10"
ambiguedad,2,1,"Hola, ¿me pasás el precio del que está en la vidriera?","No tenemos un producto específico en la vidriera, pero podemos ofrecerte algunos de nuestros productos destacados. Tenemos auriculares como el HyperX Cloud II Negro a $125.500, el HyperX Cloud Stinger 2 Negro a $70.000, o el Logitech G Pro X Negro a $284.000. ¿Te interesa alguno de estos?",,,"search_products({""query"": ""Hola, ¿me pasás el precio del que está en la vidriera?""})=10 | search_products({""query"": ""vidriera""})=0"
ortografia,1,1,ola quiero saver cuatno sale el teclado redragon,"Tenemos varios teclados Redragon disponibles. El Teclado Redragon Kumara K552 Negro cuesta $36.000, el Teclado Redragon Kumara K552 Blanco tambien cuesta $36.000, el Teclado Redragon K617 Fizz Negro cuesta $38.000 y el Teclado Redragon Vata K580 Blanco cuesta $65.500. El Teclado Redragon Vata K580 Negro no esta disponible porque no hay stock. ¿Te gustaria saber mas sobre alguno de estos teclados?",,,"search_products({""query"": ""Teclado Redragon""})=10 | calculate_total({""items"": [{""cantidad"": 1, ""product_id"": ""TEC0015""}]})=1 | calculate_total({""items"": [{""cantidad"": 1, ""product_id"": ""TEC0016""}]})=1 | calculate_total({""items"": [{""cantidad"": 1, ""product_id"": ""TEC0017""}]})=None | calculate_total({""it"
ambiguedad,1,2,"Dale, mostrame ese que está azul, el que vi antes. ¿Cuál conviene más?","Tenemos varios parlantes azules, como el Logitech Z313, el Logitech Z207 Bluetooth, el Edifier R1280T, el JBL Go 3, el JBL Flip 6, el Genius SP-HF180, el Logitech Z625 THX, el Logitech Z906 5.1, el Edifier R1700BT y el JBL Charge 5. ¿Te interesa alguno de estos? ¿O prefieres que te muestre todos los detalles de cada uno?",,,"search_products({""query"": ""azul""})=10"
ortografia,1,2,"dame el kumara blanco, envi acba?",El Teclado Redragon Kumara K552 Blanco cuesta $36.000 y el envio a CABA o GBA es de $3.000. Entonces el total es de $39.000. ¿Querés pagar con transferencia o con otro método?,,,"presupuesto_codigo calculate_total({""items"": [{""product_id"": ""TEC0037"", ""cantidad"": 1}], ""items_extra"": null})=1 | search_products({""query"": ""Teclado Redragon Kumara K552 Blanco""})=10 | calculate_total({""items"": [{""cantidad"": 1, ""product_id"": ""TEC0016""}], ""items_extra"": [{""concepto"": ""envio_caba_gba"
ambiguedad,2,2,"No, el que está al lado del monitor, ese azul, ¿cuánto vale?","No tenemos auriculares azules en stock. ¿Te gustaría ver los que tenemos disponibles? Tenemos auriculares como el HyperX Cloud II Negro a $125.500, el HyperX Cloud Stinger 2 Negro a $70.000, o el Logitech G Pro X Negro a $284.000. ¿Te interesa alguno de estos?",,,"search_products({""query"": ""auriculares azules""})=10 | search_products({""query"": ""auriculares azules""})=10"
ortografia,2,2,"dale dame el mas barato de samsun, si tenes, y el envi acba a caba si haces","Lo siento, no tenemos teclados mecanicos de Samsung en stock. Si necesitas ayuda con algo mas, estoy aqui para ayudarte.",,,"calculate_total({""items"": [{""product_id"": ""COO0003"", ""cantidad"": 1}]})=1 | calculate_total({""items"": [{""product_id"": ""COO0003"", ""cantidad"": 1}], ""items_extra"": [{""faq_tema"": ""costo_envio"", ""concepto"": ""envio_cab)=1 | cotizar_envio({""localidad"": ""dale dame el mas barato de samsun, si tenes, y el envi"
ambiguedad,1,3,"No, pará. Hablaba del teclado azul mecánico, el que estaba en oferta.",No encontramos teclados azules mecánicos en nuestro catálogo. ¿Te gustaría ver otros teclados que tenemos disponibles?,,,"search_products({""query"": ""teclado azul mecánico""})=10 | search_products({""query"": ""teclado azul mecánico""})=10"
ortografia,1,3,transferencia mandame el cbu dale,"El total es $39.000. Si pagas con transferencia, te doy un 10% de descuento, entonces te queda $32.400. Te mando el CBU para que puedas hacer la transferencia. ¿Querés que te lo mande?",,,"presupuesto_codigo calculate_total({""items"": [{""product_id"": ""TEC0016"", ""cantidad"": 1}], ""items_extra"": [{""faq_tema"": ""descuento_transferencia"", ""concepto"")=1 | search_products({""query"": ""Teclado Redragon Kumara K552 Blanco""})=10 | calculate_total({""items"": [{""cantidad"": 1, ""product_id"": ""TEC0016""}]"
