conv_id,escenario,turno,mensaje,respuesta,tiempo_seg,fallback,error
c01_explorar_y_cerrar,"Explorar mouse, elegir, calcular envio interior, confirmar y dar datos",1,"Hola, buenas","¡Hola! ¿En qué andás? Cualquier cosa que necesites de tecnología o periféricos gamer, ¡me decís y te ayudo!",15.6,no,no
c01_explorar_y_cerrar,"Explorar mouse, elegir, calcular envio interior, confirmar y dar datos",2,Estoy buscando un mouse para jugar,"¡Dale! Tenemos varios mouses para gaming. Acá te dejo algunas opciones: Logitech G203 Lightsync: $38.000, es un buen mouse gamer de entrada con iluminación RGB y sensor de 8000 DPI. Razer DeathAdder V3: $125.000, es un mouse gamer inalambrico, ultra liviano, con sensor de 30000 DPI. Logitech MX Master 3S: $210.000, si buscas algo más enfocado en productividad pero que también sirva para jugar, este es una excelente opción. Es inalambrico y tiene scroll MagSpeed. También tengo otros mouses y accesorios como mouse pads. ¿Cuál te interesa más o tenés alguna otra preferencia?",11.9,no,no
c01_explorar_y_cerrar,"Explorar mouse, elegir, calcular envio interior, confirmar y dar datos",3,cual me conviene de esos dos?,"¡Dale! Revisando la lista, el Logitech G203 Lightsync (MOU001) es una buena opción económica y el Razer DeathAdder V3 (MOU002) es más premium, liviano y con mejor sensor. Logitech G203 Lightsync: $38.000, ideal si buscás algo bueno para empezar a jugar y no querés gastar mucho. Razer DeathAdder V3: $125.000, si buscás lo último en tecnología, un mouse liviano y con alto rendimiento para gaming profesional. ¿Cuál te llama más la atención o tenés alguna otra duda sobre alguno de los dos?",15.9,no,no
c01_explorar_y_cerrar,"Explorar mouse, elegir, calcular envio interior, confirmar y dar datos",4,el mas barato cuanto sale?,"¡Dale! El más barato de los que te mencioné es el Logitech G203 Lightsync, sale $38.000. Es un buen mouse para empezar a jugar, tiene iluminación RGB y un sensor de 8000 DPI. ¿Te interesa que te cuente algo más o querés ver otras opciones?",12.8,no,no
c01_explorar_y_cerrar,"Explorar mouse, elegir, calcular envio interior, confirmar y dar datos",5,y con envio a Cordoba capital?,"Esa puntual la tengo que confirmar para no pasarte un dato flojo. La consulto y te aviso, y mientras seguimos con lo que si tengo a mano?",10.1,no,no
c01_explorar_y_cerrar,"Explorar mouse, elegir, calcular envio interior, confirmar y dar datos",6,"es a Nueva Cordoba, barrio centrico","¡Uy, me mandaste al tren! Disculpa, me confundí con la forma de pedir el envío. Mirá, para poder cotizarte el envío a Nueva Córdoba, barrio céntrico, ¿podés decirme si el envío es a Capital Federal, a Gran Buenos Aires o al Interior del país? Con eso ya te confirmo el costo. Y seguimos con el mouse, ¿te parece? El Logitech G203 Lightsync sale $38.000.",10.2,no,no
c01_explorar_y_cerrar,"Explorar mouse, elegir, calcular envio interior, confirmar y dar datos",7,"dale, me lo llevo","¡Dale! Perfecto. El total de tu compra del Mouse Logitech G203 Lightsync es de $38.000. Ahora, para el envío a Nueva Córdoba, barrio céntrico de Córdoba Capital, necesito que me confirmes si es dentro de Capital Federal, Gran Buenos Aires o Interior del país. Así te doy el costo exacto. ¿Qué me decís?",11.6,no,no
c01_explorar_y_cerrar,"Explorar mouse, elegir, calcular envio interior, confirmar y dar datos",8,pago por transferencia,"¡Perfecto! El total queda entre $43.000 y $50.000 pesos. El costo exacto del envío depende de la localidad de Nueva Córdoba. Para confirmarte el monto final, ¿me podés decir la calle y número a donde va el mouse? Así lo confirmo y te doy el monto exacto para que puedas hacer la transferencia. ¡Y listo, te confirmo la compra!",12.0,no,no
c01_explorar_y_cerrar,"Explorar mouse, elegir, calcular envio interior, confirmar y dar datos",9,mi nombre es Martin y mi telefono es 351 5551234,"¡Dale, Martín! El total queda entre $43.000 y $50.000 pesos. El monto exacto depende de la condición del rango. Para finalizar, confirmame la calle y número en Nueva Córdoba donde va el mouse, así te confirmo el valor final del envío. ¡Y listo, te confirmo la compra!",10.5,no,no
c02_cambio_de_opinion,"Arranca por teclado y a mitad cambia a monitor, obliga a re-buscar y recalcular sin perder el hilo",1,"buenas, tenes teclados mecanicos?","A ver, te digo la verdad: justo ahora no tengo teclados mecánicos. Pero sí te puedo mostrar los teclados que sí tengo, ¿te interesa echar un vistazo?",6.6,no,no
