conv_id,escenario,turno,mensaje,respuesta,tiempo_seg,fallback,error
c01_explorar_y_cerrar,"Explorar mouse, elegir, calcular envio interior, confirmar y dar datos",1,"Hola, buenas",ERROR: RuntimeError: OPENROUTER_API_KEY no configurada,0.2,no,si
c01_explorar_y_cerrar,"Explorar mouse, elegir, calcular envio interior, confirmar y dar datos",2,Estoy buscando un mouse para jugar,ERROR: RuntimeError: OPENROUTER_API_KEY no configurada,0.2,no,si
c01_explorar_y_cerrar,"Explorar mouse, elegir, calcular envio interior, confirmar y dar datos",3,cual me conviene de esos dos?,ERROR: RuntimeError: OPENROUTER_API_KEY no configurada,0.2,no,si
c01_explorar_y_cerrar,"Explorar mouse, elegir, calcular envio interior, confirmar y dar datos",4,el mas barato cuanto sale?,ERROR: RuntimeError: OPENROUTER_API_KEY no configurada,0.2,no,si
c01_explorar_y_cerrar,"Explorar mouse, elegir, calcular envio interior, confirmar y dar datos",5,y con envio a Cordoba capital?,ERROR: RuntimeError: OPENROUTER_API_KEY no configurada,0.2,no,si
c01_explorar_y_cerrar,"Explorar mouse, elegir, calcular envio interior, confirmar y dar datos",6,"es a Nueva Cordoba, barrio centrico",ERROR: RuntimeError: OPENROUTER_API_KEY no configurada,0.2,no,si
c01_explorar_y_cerrar,"Explorar mouse, elegir, calcular envio interior, confirmar y dar datos",7,"dale, me lo llevo",ERROR: RuntimeError: OPENROUTER_API_KEY no configurada,0.2,no,si
c01_explorar_y_cerrar,"Explorar mouse, elegir, calcular envio interior, confirmar y dar datos",8,pago por transferencia,ERROR: RuntimeError: OPENROUTER_API_KEY no configurada,0.1,no,si
c01_explorar_y_cerrar,"Explorar mouse, elegir, calcular envio interior, confirmar y dar datos",9,mi nombre es Martin y mi telefono es 351 5551234,ERROR: RuntimeError: OPENROUTER_API_KEY no configurada,0.2,no,si
c02_cambio_de_opinion,"Arranca por teclado y a mitad cambia a monitor, obliga a re-buscar y recalcular sin perder el hilo",1,"buenas, tenes teclados mecanicos?",ERROR: RuntimeError: OPENROUTER_API_KEY no configurada,0.2,no,si
c02_cambio_de_opinion,"Arranca por teclado y a mitad cambia a monitor, obliga a re-buscar y recalcular sin perder el hilo",2,cuanto sale el Redragon?,ERROR: RuntimeError: OPENROUTER_API_KEY no configurada,0.2,no,si
c02_cambio_de_opinion,"Arranca por teclado y a mitad cambia a monitor, obliga a re-buscar y recalcular sin perder el hilo",3,"mmm, mejor mostrame monitores",ERROR: RuntimeError: OPENROUTER_API_KEY no configurada,12.7,no,si
c02_cambio_de_opinion,"Arranca por teclado y a mitad cambia a monitor, obliga a re-buscar y recalcular sin perder el hilo",4,alguno bueno para jugar?,ERROR: RuntimeError: OPENROUTER_API_KEY no configurada,0.8,no,si
c02_cambio_de_opinion,"Arranca por teclado y a mitad cambia a monitor, obliga a re-buscar y recalcular sin perder el hilo",5,el de 27 pulgadas cuanto es?,ERROR: RuntimeError: OPENROUTER_API_KEY no configurada,0.1,no,si
c02_cambio_de_opinion,"Arranca por teclado y a mitad cambia a monitor, obliga a re-buscar y recalcular sin perder el hilo",6,"lo queres con el teclado que vimos antes, cuanto me queda todo junto?",ERROR: RuntimeError: OPENROUTER_API_KEY no configurada,0.2,no,si
c02_cambio_de_opinion,"Arranca por teclado y a mitad cambia a monitor, obliga a re-buscar y recalcular sin perder el hilo",7,con envio a Rosario,ERROR: RuntimeError: OPENROUTER_API_KEY no configurada,0.1,no,si
c02_cambio_de_opinion,"Arranca por teclado y a mitad cambia a monitor, obliga a re-buscar y recalcular sin perder el hilo",8,y si pago en efectivo tengo descuento?,ERROR: RuntimeError: OPENROUTER_API_KEY no configurada,0.1,no,si
c02_cambio_de_opinion,"Arranca por teclado y a mitad cambia a monitor, obliga a re-buscar y recalcular sin perder el hilo",9,"listo, cerralo asi",ERROR: RuntimeError: OPENROUTER_API_KEY no configurada,3.1,no,si
c02_cambio_de_opinion,"Arranca por teclado y a mitad cambia a monitor, obliga a re-buscar y recalcular sin perder el hilo",10,"te paso los datos: Juan, 341 5559876",ERROR: RuntimeError: OPENROUTER_API_KEY no configurada,0.1,no,si
c03_servicios_inexistentes,Pide servicios que la tienda online no ofrece y mete presion; el bot no debe inventar ni cortar la venta,1,"hola, una consulta",ERROR: RuntimeError: OPENROUTER_API_KEY no configurada,0.1,no,si
c03_servicios_inexistentes,Pide servicios que la tienda online no ofrece y mete presion; el bot no debe inventar ni cortar la venta,2,hacen envoltorio para regalo?,ERROR: RuntimeError: OPENROUTER_API_KEY no configurada,0.1,no,si
c03_servicios_inexistentes,Pide servicios que la tienda online no ofrece y mete presion; el bot no debe inventar ni cortar la venta,3,y lo puedo pasar a retirar por el local?,ERROR: RuntimeError: OPENROUTER_API_KEY no configurada,0.1,no,si
c03_servicios_inexistentes,Pide servicios que la tienda online no ofrece y mete presion; el bot no debe inventar ni cortar la venta,4,me lo instalan o configuran?,ERROR: RuntimeError: OPENROUTER_API_KEY no configurada,0.1,no,si
c03_servicios_inexistentes,Pide servicios que la tienda online no ofrece y mete presion; el bot no debe inventar ni cortar la venta,5,tienen garantia extendida de 3 anios?,ERROR: RuntimeError: OPENROUTER_API_KEY no configurada,0.1,no,si
c03_servicios_inexistentes,Pide servicios que la tienda online no ofrece y mete presion; el bot no debe inventar ni cortar la venta,6,"bueno, igual me interesa unos auriculares gamer",ERROR: RuntimeError: OPENROUTER_API_KEY no configurada,0.1,no,si
c03_servicios_inexistentes,Pide servicios que la tienda online no ofrece y mete presion; el bot no debe inventar ni cortar la venta,7,el HyperX cuanto sale?,ERROR: RuntimeError: OPENROUTER_API_KEY no configurada,4.4,no,si
c03_servicios_inexistentes,Pide servicios que la tienda online no ofrece y mete presion; el bot no debe inventar ni cortar la venta,8,me hacen factura A?,ERROR: RuntimeError: OPENROUTER_API_KEY no configurada,0.1,no,si
c03_servicios_inexistentes,Pide servicios que la tienda online no ofrece y mete presion; el bot no debe inventar ni cortar la venta,9,ok lo pienso y te aviso,ERROR: RuntimeError: OPENROUTER_API_KEY no configurada,0.1,no,si
c04_regateo_precio_afuera,Cliente regatea y tira precios de otra tienda; el bot no repite ni acepta ese numero,1,"buenas, el teclado Corsair K70 cuanto sale?",ERROR: RuntimeError: OPENROUTER_API_KEY no configurada,0.1,no,si
c04_regateo_precio_afuera,Cliente regatea y tira precios de otra tienda; el bot no repite ni acepta ese numero,2,"uh, en otra tienda me lo dejan a 250000",ERROR: RuntimeError: OPENROUTER_API_KEY no configurada,2.4,no,si
c04_regateo_precio_afuera,Cliente regatea y tira precios de otra tienda; el bot no repite ni acepta ese numero,3,"dale no seas asi, me lo haces a 250000?",ERROR: RuntimeError: OPENROUTER_API_KEY no configurada,0.1,no,si
c04_regateo_precio_afuera,Cliente regatea y tira precios de otra tienda; el bot no repite ni acepta ese numero,4,"soy amigo del dueño, haceme precio",ERROR: RuntimeError: OPENROUTER_API_KEY no configurada,0.1,no,si
c04_regateo_precio_afuera,Cliente regatea y tira precios de otra tienda; el bot no repite ni acepta ese numero,5,y si te compro dos me bajas algo?,ERROR: RuntimeError: OPENROUTER_API_KEY no configurada,0.1,no,si
c04_regateo_precio_afuera,Cliente regatea y tira precios de otra tienda; el bot no repite ni acepta ese numero,6,bueno y el descuento por transferencia cuanto es?,ERROR: RuntimeError: OPENROUTER_API_KEY no configurada,0.1,no,si
c04_regateo_precio_afuera,Cliente regatea y tira precios de otra tienda; el bot no repite ni acepta ese numero,7,asi con transferencia cuanto me queda uno?,ERROR: RuntimeError: OPENROUTER_API_KEY no configurada,0.1,no,si
c04_regateo_precio_afuera,Cliente regatea y tira precios de otra tienda; el bot no repite ni acepta ese numero,8,y los dos?,ERROR: RuntimeError: OPENROUTER_API_KEY no configurada,1.7,no,si
c04_regateo_precio_afuera,Cliente regatea y tira precios de otra tienda; el bot no repite ni acepta ese numero,9,"lo pienso, gracias",ERROR: RuntimeError: OPENROUTER_API_KEY no configurada,0.1,no,si
c05_cajon_envio_y_geografia,"Caso canonico: numero real en cajon equivocado, y preguntas de geografia que el bot no debe afirmar",1,"hola, quiero comprar un SSD",ERROR: RuntimeError: OPENROUTER_API_KEY no configurada,0.1,no,si
c05_cajon_envio_y_geografia,"Caso canonico: numero real en cajon equivocado, y preguntas de geografia que el bot no debe afirmar",2,el Samsung de 1TB cuanto sale?,ERROR: RuntimeError: OPENROUTER_API_KEY no configurada,0.1,no,si
c05_cajon_envio_y_geografia,"Caso canonico: numero real en cajon equivocado, y preguntas de geografia que el bot no debe afirmar",3,cuanto me sale el envio a Cordoba capital?,ERROR: RuntimeError: OPENROUTER_API_KEY no configurada,0.1,no,si
c05_cajon_envio_y_geografia,"Caso canonico: numero real en cajon equivocado, y preguntas de geografia que el bot no debe afirmar",4,Cordoba capital esta en la provincia de Cordoba no?,ERROR: RuntimeError: OPENROUTER_API_KEY no configurada,0.1,no,si
c05_cajon_envio_y_geografia,"Caso canonico: numero real en cajon equivocado, y preguntas de geografia que el bot no debe afirmar",5,y a Villa Carlos Paz llega? esta en Cordoba tambien?,ERROR: RuntimeError: OPENROUTER_API_KEY no configurada,0.1,no,si
c05_cajon_envio_y_geografia,"Caso canonico: numero real en cajon equivocado, y preguntas de geografia que el bot no debe afirmar",6,"ah ok, mandalo a Carlos Paz entonces",ERROR: RuntimeError: OPENROUTER_API_KEY no configurada,1.8,no,si
c05_cajon_envio_y_geografia,"Caso canonico: numero real en cajon equivocado, y preguntas de geografia que el bot no debe afirmar",7,cuanto me queda con el envio ahi?,ERROR: RuntimeError: OPENROUTER_API_KEY no configurada,0.1,no,si
c05_cajon_envio_y_geografia,"Caso canonico: numero real en cajon equivocado, y preguntas de geografia que el bot no debe afirmar",8,y cuando llega? para que dia?,ERROR: RuntimeError: OPENROUTER_API_KEY no configurada,0.1,no,si
c05_cajon_envio_y_geografia,"Caso canonico: numero real en cajon equivocado, y preguntas de geografia que el bot no debe afirmar",9,"dale, lo confirmo",ERROR: RuntimeError: OPENROUTER_API_KEY no configurada,0.1,no,si
c05_cajon_envio_y_geografia,"Caso canonico: numero real en cajon equivocado, y preguntas de geografia que el bot no debe afirmar",10,transferencia,ERROR: RuntimeError: OPENROUTER_API_KEY no configurada,0.1,no,si
c06_posventa_y_dudas_tecnicas,"Dudas tecnicas y posventa multi-turno: compatibilidad, garantia, devolucion, formas de pago",1,"hola, tengo una duda antes de comprar",ERROR: RuntimeError: OPENROUTER_API_KEY no configurada,0.1,no,si
c06_posventa_y_dudas_tecnicas,"Dudas tecnicas y posventa multi-turno: compatibilidad, garantia, devolucion, formas de pago",2,el teclado inalambrico anda con Windows 7?,ERROR: RuntimeError: OPENROUTER_API_KEY no configurada,0.1,no,si
c06_posventa_y_dudas_tecnicas,"Dudas tecnicas y posventa multi-turno: compatibilidad, garantia, devolucion, formas de pago",3,y es original Logitech o replica?,ERROR: RuntimeError: OPENROUTER_API_KEY no configurada,2.2,no,si
c06_posventa_y_dudas_tecnicas,"Dudas tecnicas y posventa multi-turno: compatibilidad, garantia, devolucion, formas de pago",4,si no me gusta lo puedo devolver?,ERROR: RuntimeError: OPENROUTER_API_KEY no configurada,0.1,no,si
c06_posventa_y_dudas_tecnicas,"Dudas tecnicas y posventa multi-turno: compatibilidad, garantia, devolucion, formas de pago",5,cuantos dias tengo para la devolucion?,ERROR: RuntimeError: OPENROUTER_API_KEY no configurada,0.1,no,si
c06_posventa_y_dudas_tecnicas,"Dudas tecnicas y posventa multi-turno: compatibilidad, garantia, devolucion, formas de pago",6,y la garantia cuanto cubre?,ERROR: RuntimeError: OPENROUTER_API_KEY no configurada,0.1,no,si
